dataset,id,n_samples
HeLiPR,bridge01,21439
HeLiPR,dcc05,10810
HeLiPR,kaist05,12477
HeLiPR,riverside05,8551
HeLiPR,roundabout01,27296
HeLiPR,town01,24140
Oxford RobotCar,2014-11-11-11-06-25_rtk,18761
Oxford RobotCar,2014-12-05-11-09-10_rtk,2940
Oxford RobotCar,2015-02-13-09-16-26_rtk,22101
Oxford RobotCar,2015-03-24-13-47-33_rtk,22321
Oxford RobotCar,2015-05-19-14-06-38_rtk,22071
Oxford RobotCar,2015-07-08-13-37-17_rtk,27171
Oxford RobotCar,2015-08-12-15-04-18_rtk,22911
Oxford RobotCar,2015-08-17-13-30-19_rtk,15051
Oxford RobotCar,2015-08-27-16-07-13_rtk,27600
Oxford RobotCar,2015-11-02-10-45-59_rtk,29931
Oxford RobotCar,2015-11-12-11-22-05_rtk,21701
nuScenes,scene-0001,193
nuScenes,scene-0053,191
nuScenes,scene-0103,194
nuScenes,scene-0158,193
nuScenes,scene-0234,193
nuScenes,scene-0285,195
nuScenes,scene-0347,190
nuScenes,scene-0398,196
nuScenes,scene-0450,195
nuScenes,scene-0505,195
nuScenes,scene-0557,195
nuScenes,scene-0612,198
nuScenes,scene-0664,199
nuScenes,scene-0730,195
nuScenes,scene-0798,195
nuScenes,scene-0860,198
nuScenes,scene-0914,197
nuScenes,scene-0977,195
nuScenes,scene-1031,199
nuScenes,scene-1081,195
KITTI raw,2011_09_30_drive_0028_sync,5177
KITTI raw,2011_10_03_drive_0027_sync,4544
KITTI raw,2011_10_03_drive_0034_sync,4663
KITTI-360,2013_05_28_drive_0000_extract,12040
KITTI-360,2013_05_28_drive_0002_extract,20133
KITTI-360,2013_05_28_drive_0003_extract,1084
KITTI-360,2013_05_28_drive_0004_extract,12116
KITTI-360,2013_05_28_drive_0005_extract,7055
KITTI-360,2013_05_28_drive_0006_extract,10143
KITTI-360,2013_05_28_drive_0007_extract,3553
KITTI-360,2013_05_28_drive_0008_extract,9237
KITTI-360,2013_05_28_drive_0009_extract,14665
KITTI-360,2013_05_28_drive_0010_extract,4003
Boreas,boreas-2020-11-26-13-58,10755
Boreas,boreas-2021-06-17-17-52,12749
Boreas,boreas-2021-09-02-11-42,10736
Pit30M,00682fa6_00,2378
Pit30M,00682fa6_01,1669
Pit30M,00682fa6_02,4885
Pit30M,00682fa6_03,3319
Pit30M,00a05077_00,1417
Pit30M,00a05077_01,9602
Pit30M,00a05077_02,256
Pit30M,00a05077_03,21551
Pit30M,00a05077_04,1504
Pit30M,0106abc2_00,11256
Pit30M,0106abc2_01,660
Pit30M,017be362_00,3377
Pit30M,017be362_01,172
Pit30M,017be362_02,2351
Pit30M,017be362_03,422
Pit30M,017be362_04,3553
Pit30M,017be362_05,11336
Pit30M,017be362_06,675
Pit30M,017be362_07,7067
Pit30M,01959149_00,12649
Pit30M,01959149_01,1826
Pit30M,01959149_02,183
Pit30M,01959149_03,2072
Pit30M,01959149_04,222
Pit30M,01959149_05,5820
Pit30M,01959149_06,7025
Pit30M,01959149_07,5067
Pit30M,01d09d4c_00,299
Pit30M,01d09d4c_01,11473
Pit30M,01e21524_00,1401
Pit30M,01e21524_01,642
Pit30M,01e21524_02,1019
Pit30M,01e21524_03,487
Pit30M,01e21524_04,618
Pit30M,01e21524_05,140
Pit30M,01e21524_06,5874
Pit30M,01e21524_07,517
Pit30M,01e21524_08,5737
Pit30M,01e21524_09,949
Pit30M,01e21524_10,1374
Pit30M,01e21524_11,6071
Pit30M,01e21524_12,4908
Pit30M,01e86404_00,242
Pit30M,01e86404_01,28860
Pit30M,020829cb_00,2267
Pit30M,020829cb_01,15656
Pit30M,020829cb_02,1823
Pit30M,0209f084_00,1048
Pit30M,0209f084_01,12448
Pit30M,021286dc_00,1462
Pit30M,021286dc_01,4764
Pit30M,021286dc_02,4616
Pit30M,024e8e83_00,26149
KAIST Complex Urban,urban00,11874
KAIST Complex Urban,urban01,13681
KAIST Complex Urban,urban02,8871
KAIST Complex Urban,urban03,9000
KAIST Complex Urban,urban04,21503
KAIST Complex Urban,urban05,7118
KAIST Complex Urban,urban07,4442
KAIST Complex Urban,urban08,2872
KAIST Complex Urban,urban11,7884
Argoverse 2,02678d04-cc9f-3148-9f95-1ba66347dff9,160
Argoverse 2,02a00399-3857-444e-8db3-a8f58489c394,160
Argoverse 2,04994d08-156c-3018-9717-ba0e29be8153,160
Argoverse 2,05fa5048-f355-3274-b565-c0ddc547b315,160
Argoverse 2,070bbf42-31d3-3aa9-aca4-c262afc9077d,160
Argoverse 2,0aa4e8f5-2f9a-39a1-8f80-c2fdde4405a2,160
Argoverse 2,0b5142c1-420b-3fea-9e98-b87327ae22c6,160
Argoverse 2,0b86f508-5df9-4a46-bc59-5b9536dbde9f,160
Argoverse 2,0bae3b5e-417d-3b03-abaa-806b433233b8,160
Argoverse 2,0c3bad78-9f1e-395d-a376-2eb7499229fd,160
Argoverse 2,0fb7276f-ecb5-3e5b-87a8-cc74c709c715,160
Argoverse 2,11ba4e81-c26f-3cd1-827d-b6913bcef64e,160
Argoverse 2,15ec0778-826e-3ed7-9775-54fbf66997f4,160
Argoverse 2,182ba3f7-b89a-36cc-ae40-32a341b0d3e9,160
Argoverse 2,185d3943-dd15-397a-8b2e-69cd86628fb7,160
Argoverse 2,19350c96-623d-4d77-af96-f8c23f00c358,160
Argoverse 2,19f53e16-9f99-3035-9672-7e860f3b0048,160
Argoverse 2,1da4a0aa-22ae-3958-856d-05303de1f576,160
Argoverse 2,1f434d15-8745-3fba-9c3e-ccb026688397,160
Argoverse 2,201fe83b-7dd7-38f4-9d26-7b4a668638a9,160
Argoverse 2,20bcd747-ef60-391a-9f4a-ae99f049c260,160
Argoverse 2,20d47f81-46e8-3adf-a0ca-564fbb5c599d,160
Argoverse 2,20dd185d-b4eb-3024-a17a-b4e5d8b15b65,200
Argoverse 2,214e388e-cbd7-3dde-a204-d2ec42298808,160
Argoverse 2,22052525-4f85-3fe8-9d7d-000a9fffce36,160
Argoverse 2,24642607-2a51-384a-90a7-228067956d05,160
Argoverse 2,25e5c600-36fe-3245-9cc0-40ef91620c22,160
Argoverse 2,27be7d34-ecb4-377b-8477-ccfd7cf4d0bc,160
Argoverse 2,27c03d98-6ac3-38a3-ba5e-102b184d01ef,160
Argoverse 2,280269f9-6111-311d-b351-ce9f63f88c81,160
Argoverse 2,29a00842-ead2-3050-b587-c5ef507e4125,160
Argoverse 2,2c652f9e-8db8-3572-aa49-fae1344a875b,160
Argoverse 2,2e3f2ae7-9ab9-3aef-a3ce-a0a97a0cb1ab,160
Argoverse 2,2f2321d2-7912-3567-a789-25e46a145bda,160
Argoverse 2,2ff4f798-78d9-3384-87e9-61928aa4cb6d,160
Argoverse 2,335aabef-269e-3211-a99d-2c3a3a8f8475,160
Argoverse 2,36aec72e-5086-376c-b109-295b128e77e1,160
Argoverse 2,3b3570b4-7b0b-3268-a571-b0889dbf40b6,160
Argoverse 2,3bffdcff-c3a7-38b6-a0f2-64196d130958,160
Argoverse 2,3de5b5d6-68c4-3c95-84ed-be7c83d829f8,160
Argoverse 2,42f92807-0c5e-3397-bd45-9d5303b4db2a,160
Argoverse 2,44adf4c4-6064-362f-94d3-323ed42cfda9,160
Argoverse 2,47286726-5dd4-4e26-bd2d-5324f429e445,160
Argoverse 2,472a240a-10cd-39cd-8681-558f7c7cf868,160
Argoverse 2,4c33fc38-5e59-34f8-96ba-4e5a404d3988,160
Argoverse 2,4e3fedbb-847c-3d5b-8a62-c9ff84550985,160
Argoverse 2,51bbdd4d-3065-34ae-b369-b6e0444f34db,160
Argoverse 2,52071780-5758-3ed4-8835-0d64ecdc5575,160
Argoverse 2,52971a8a-ed62-3bfd-bcd4-ca3308b594e0,160
Argoverse 2,544a8102-0ef5-3044-921e-dc0544370376,160
Argoverse 2,5589de60-1727-3e3f-9423-33437fc5da4b,160
Argoverse 2,58e82365-03bc-3b2f-b55a-a4ad0e3e792d,160
Argoverse 2,58fed0d4-97d5-469b-89a4-4394838e10c7,160
Argoverse 2,5c0584a3-52a6-3029-b6ff-ca45a19d8aa6,160
Argoverse 2,5f278cdd-ca28-3c53-8f5c-04e62308811d,160
Argoverse 2,5f8f4a26-59b1-3f70-bcab-b5e3e615d3bc,160
Argoverse 2,65387aee-4490-38b9-8f4f-1fc43bd4ac06,160
Argoverse 2,6803104a-bb06-402e-8471-e5af492db0a8,160
Argoverse 2,6aaf5b08-9f84-3a2e-8a32-2e50e5e11a3c,160
Argoverse 2,6c932547-4c11-31d7-b8ef-0c16a13dbfc3,160
Argoverse 2,6f128f23-ee40-3ea9-8c50-c9cdb9d3e8b6,160
