check,key,value
alignment,delta_pct,129.7273166136678
alignment,smooth_x,11.099289347552777
alignment,W_native,100.0
alignment,rate_hz,199.99542246805265
latency,shift_-0.5s,-0.10424532169344136
latency,shift_-0.2s,-1.7781965736272443
latency,shift_-0.1s,-1.2504477390119062
latency,shift_+0.0s,129.7273166136678
latency,shift_+0.1s,-1.2498516857083697
latency,shift_+0.2s,-1.7668964768384754
latency,shift_+0.5s,-0.10178156773062996
curvature,0e+00-1e-03,129.68760196116617
curvature,1e-03-5e-03,124.29903830078084
curvature,5e-03-2e-02,139.60363857101038
curvature,2e-02-1e-01,190.39677426696926
curvature,1e-01-1e+00,179.32838018971742
