dataset,sequence,method,kappa_bin,n,rmse_vs_ref
HeLiPR,bridge01,central,0e+00-1e-03,8387,0.08508699751009817
HeLiPR,bridge01,central,1e-03-5e-03,6555,0.0700366368780949
HeLiPR,bridge01,central,5e-03-2e-02,2394,0.050786863483411375
HeLiPR,bridge01,central,2e-02-1e-01,1372,0.0398406961612459
HeLiPR,bridge01,central,1e-01-1e+00,2731,0.013997388643143071
HeLiPR,bridge01,family_a_W5,0e+00-1e-03,8387,0.03949166911670673
HeLiPR,bridge01,family_a_W5,1e-03-5e-03,6555,0.03936780438080079
HeLiPR,bridge01,family_a_W5,5e-03-2e-02,2394,0.03555703515681006
HeLiPR,bridge01,family_a_W5,2e-02-1e-01,1372,0.03412062726422354
HeLiPR,bridge01,family_a_W5,1e-01-1e+00,2731,0.013750461962259704
HeLiPR,dcc05,central,0e+00-1e-03,2487,0.07848158764318978
HeLiPR,dcc05,central,1e-03-5e-03,2702,0.14531089053862542
HeLiPR,dcc05,central,5e-03-2e-02,1309,0.21841189393979257
HeLiPR,dcc05,central,2e-02-1e-01,1133,0.2447365299626924
HeLiPR,dcc05,central,1e-01-1e+00,3179,0.23756120354171067
HeLiPR,dcc05,family_a_W5,0e+00-1e-03,2487,0.07749204675902803
HeLiPR,dcc05,family_a_W5,1e-03-5e-03,2702,0.14746626826022227
HeLiPR,dcc05,family_a_W5,5e-03-2e-02,1309,0.2091461517755413
HeLiPR,dcc05,family_a_W5,2e-02-1e-01,1133,0.23945609203128354
HeLiPR,dcc05,family_a_W5,1e-01-1e+00,3179,0.23045306184863534
HeLiPR,kaist05,central,0e+00-1e-03,2807,0.031620928180861346
HeLiPR,kaist05,central,1e-03-5e-03,4233,0.029527011227138168
HeLiPR,kaist05,central,5e-03-2e-02,3101,0.027058397039486218
HeLiPR,kaist05,central,2e-02-1e-01,1722,0.02439803603108825
HeLiPR,kaist05,central,1e-01-1e+00,614,0.020572437303071265
HeLiPR,kaist05,family_a_W5,0e+00-1e-03,2807,0.02250547266193225
HeLiPR,kaist05,family_a_W5,1e-03-5e-03,4233,0.02506556416946332
HeLiPR,kaist05,family_a_W5,5e-03-2e-02,3101,0.023444217339882733
HeLiPR,kaist05,family_a_W5,2e-02-1e-01,1722,0.025031052492642626
HeLiPR,kaist05,family_a_W5,1e-01-1e+00,614,0.021644913376261832
HeLiPR,riverside05,central,0e+00-1e-03,3501,0.10084422490530981
HeLiPR,riverside05,central,1e-03-5e-03,1831,0.07830102236285094
HeLiPR,riverside05,central,5e-03-2e-02,644,0.04537726404438423
HeLiPR,riverside05,central,2e-02-1e-01,635,0.04989060070272348
HeLiPR,riverside05,central,1e-01-1e+00,1940,0.005144051425536659
HeLiPR,riverside05,family_a_W5,0e+00-1e-03,3501,0.03573286731005911
HeLiPR,riverside05,family_a_W5,1e-03-5e-03,1831,0.029274027472974293
HeLiPR,riverside05,family_a_W5,5e-03-2e-02,644,0.021590250297725638
