dataset,stride,phase,W,rate_hz,span_s,delta_pct,smooth_x,max_abs_delta_any_shift_pct
Boreas,1,0,5,10.0,1.0,102.43450152204336,2.1995749526993014,1.282937244132154
Boreas,1,0,7,10.0,1.4,169.76788115914658,3.2705761343856317,1.7548601863199176
Boreas,2,0,2,5.0,0.8,-18.892471308990586,0.7649732358719752,0.6831840207638384
Boreas,2,1,2,5.0,0.8,-18.71880354275882,0.7665074761536992,0.6613137302844185
Boreas,2,0,3,5.0,1.2,37.471708263528704,1.3528729095719503,0.5036820918146279
Boreas,2,1,3,5.0,1.2,36.89186916852998,1.3488275824291358,0.5086823186666645
Boreas,2,0,5,5.0,2.0,65.09604638823538,1.8652337440623448,1.3029618213578065
Boreas,2,1,5,5.0,2.0,64.46341866662952,1.860519918214174,1.4005083911747374
Boreas,3,0,2,3.33,1.2,-6.630450388959119,0.8559432903372619,0.44333065928021664
Boreas,3,1,2,3.33,1.2,-6.918609765906747,0.8605334644808443,0.4498797747701344
Boreas,3,2,2,3.33,1.2,-6.964622082655092,0.855228035595048,0.4696921597069803
Boreas,3,0,3,3.33,1.8,9.121166949177262,1.0853101079494645,0.7099240369830895
Boreas,3,1,3,3.33,1.8,8.489693391876486,1.084612753227396,0.7128821719090128
Boreas,3,2,3,3.33,1.8,8.16906762580647,1.087806476048599,0.7167216726623238
nuScenes,1,0,5,10.0,1.0,-5.582597913209996,3.086312114921701,5.522901480348475
nuScenes,1,0,7,10.0,1.4,-7.819695035745921,4.69866917327651,8.4841538513314
nuScenes,2,0,2,5.0,0.8,2.5156874790794204,0.7515967369039585,5.203406931831278
nuScenes,2,1,2,5.0,0.8,3.422082750371458,0.7500623424029934,5.023416606695341
nuScenes,2,0,3,5.0,1.2,-1.6998661493964118,1.3403085360066864,1.569076085564336
nuScenes,2,1,3,5.0,1.2,-1.5572098260801304,1.2077074343181398,0.6847054740475311
nuScenes,2,0,5,5.0,2.0,-9.300470666466609,2.61360515706671,8.343912406354914
nuScenes,2,1,5,5.0,2.0,-9.159048733238851,2.2205685379677047,9.580386193216928
nuScenes,3,0,2,3.33,1.2,5.338037745708646,0.7559038121724967,8.805608314734691
nuScenes,3,1,2,3.33,1.2,7.062486429218917,0.7625281303602519,8.851859200111578
nuScenes,3,2,2,3.33,1.2,6.351619735088088,0.7861455890850783,8.4637594654275
nuScenes,3,0,3,3.33,1.8,0.6272334767474685,1.2100553778303382,3.109997423155164
nuScenes,3,1,3,3.33,1.8,-2.5761822639484455,1.2447545925174321,1.5048817345563625
nuScenes,3,2,3,3.33,1.8,-0.9720490334003573,1.2907035628176242,1.4658089426031529
