dataset,ds,full_series,interior
HeLiPR,1,65.16524736626684,65.32797649630581
HeLiPR,2,64.60079209251367,64.764667286993
HeLiPR,5,57.44261569620505,58.765663279423634
HeLiPR,10,-0.6463432594373208,0.12477235473109527
Oxford,1,64.04561258356676,64.53212929803071
Oxford,2,64.823897254934,65.36845268654609
Oxford,5,60.39605190816495,62.088306863749196
Oxford,10,1.1582401899297712,6.0758078991984155
nuScenes,1,55.19640551763793,62.78666803464965
nuScenes,2,46.43215844743995,59.03334071959509
nuScenes,5,22.448275467015595,45.64645659088153
nuScenes,10,-10.826321849615294,
KITTI raw,1,62.82483119401526,63.43281616473462
KITTI raw,2,58.450448793595235,61.3785518761989
KITTI raw,5,39.75049461399377,43.86386222612965
KITTI raw,10,-48.28723639761674,-46.98472960771627
KITTI-360,1,61.59232514898971,62.5766507121736
KITTI-360,2,55.34434687349925,57.114750090827435
KITTI-360,5,31.39046610849413,32.87459451760595
KITTI-360,10,-16.219022436387732,-21.40814886473671
Boreas,1,65.3152782145095,65.57380883392587
Boreas,2,64.54917501831346,65.46189737185561
Boreas,5,57.527024497417734,58.29725744332872
Boreas,10,-25.286207327673395,-27.830651502466264
Pit30M,1,65.02707590969479,65.50938112282616
Pit30M,2,64.1708108261812,65.53471044650311
Pit30M,5,59.375098722826756,61.24171501908793
Pit30M,10,-14.356209814456754,-5.463226782207609
