dataset,ds,n_seq,n_seeds,reduction_pct,reduction_p5,reduction_p95
HeLiPR,1,6,20,65.07751882262612,64.82360859241176,65.25218398084037
HeLiPR,2,6,20,64.6265709856643,64.06062276132171,65.13238493189812
HeLiPR,5,6,20,57.77252095648744,57.03676943507438,58.63053973654475
HeLiPR,10,6,20,-0.47968761076634947,-1.9274401601202618,0.687004445612055
Oxford,1,11,20,64.1148899812577,63.96358394156746,64.36082539226838
Oxford,2,11,20,64.5965837807811,64.06130705089045,64.87735450130151
Oxford,5,11,20,60.46573812999161,59.40283846404306,61.193585028871745
Oxford,10,11,20,3.1066473701359953,1.1978255848789288,4.412156984307905
nuScenes,1,20,20,56.070214570643266,54.03870480583927,59.22999169103843
nuScenes,2,20,20,49.62123721684822,45.594371512110754,53.10056948595905
nuScenes,5,20,20,27.33944664373561,20.76971781390786,32.75101174978213
nuScenes,10,20,20,-10.037976447232111,-22.189763705270884,0.03862116892844389
KITTI raw,1,3,20,63.47479169622317,62.5039542361863,63.997649898394805
KITTI raw,2,3,20,60.848619804278144,59.58652212472021,61.85354618154623
KITTI raw,5,3,20,40.301012915933924,34.77825279583475,42.786464295996204
KITTI raw,10,3,20,-40.80870090579758,-44.39871430893928,-33.68506803598967
KITTI-360,1,10,20,61.93478018684862,61.386347088383275,62.56550190804469
KITTI-360,2,10,20,55.39142555527617,54.67935797454837,56.27074891846265
KITTI-360,5,10,20,32.504086498483616,30.665754391830532,33.71020939163036
KITTI-360,10,10,20,-15.32588435235943,-16.17420565346797,-14.753938403644957
Boreas,1,3,20,65.16547634474792,64.67314997862813,65.48348994650684
Boreas,2,3,20,64.52914379053675,63.938413403386335,65.20532695564293
Boreas,5,3,20,58.264801747574765,57.224714985237675,59.32345362920592
Boreas,10,3,20,-26.45929351822607,-28.6048884827245,-21.301599840478296
Pit30M,1,53,20,64.93309351240326,64.67038385876253,65.09156987217362
Pit30M,2,53,20,63.92039592745353,63.56986525591641,64.45720055054107
Pit30M,5,53,20,58.48925396331407,57.466992484543894,59.17228004307248
Pit30M,10,53,20,-12.489037436799727,-14.415760199790451,-10.387946007633975
