dataset,sequence,method,elapsed_s,dist_traveled_m,drift_m,drift_abs_m,drift_pct
helipr,bridge01,v_forward,2143.797064448,23045.266193385607,-0.9820612185612845,0.9820612185612845,-0.004261444455968806
helipr,bridge01,v_central,2143.797064448,23045.266193385607,-1.1758908036354114,1.1758908036354114,-0.005102526452798851
helipr,bridge01,v_savgol_w7p3,2143.797064448,23045.266193385607,-1.042441603502084,1.042441603502084,-0.004523452212503768
helipr,bridge01,v_family_a_W3,2143.797064448,23045.266193385607,-1.0328297802770976,1.0328297802770976,-0.00448174376294919
helipr,bridge01,v_family_a_W5,2143.797064448,23045.266193385607,-1.077858672811999,1.077858672811999,-0.004677137004047118
helipr,bridge01,v_family_a_W7,2143.797064448,23045.266193385607,-1.092246433669061,1.092246433669061,-0.004739569612706642
helipr,dcc05,v_forward,1080.891201024,5305.908571259967,-0.28337526192535734,0.28337526192535734,-0.005340749055878768
helipr,dcc05,v_central,1080.891201024,5305.908571259967,-0.5937674901706487,0.5937674901706487,-0.011190684539625411
helipr,dcc05,v_savgol_w7p3,1080.891201024,5305.908571259967,-0.4589139396584869,0.4589139396584869,-0.00864911133494166
helipr,dcc05,v_family_a_W3,1080.891201024,5305.908571259967,-0.45778336563307676,0.45778336563307676,-0.008627803504054147
helipr,dcc05,v_family_a_W5,1080.891201024,5305.908571259967,-0.7291448042515185,0.7291448042515185,-0.013742129070994757
helipr,dcc05,v_family_a_W7,1080.891201024,5305.908571259967,-0.9580154184714047,0.9580154184714047,-0.01805563374500269
helipr,kaist05,v_forward,1247.58320128,6879.393716016873,-2.617744712711101,2.617744712711101,-0.03805196825145166
helipr,kaist05,v_central,1247.58320128,6879.393716016873,-2.754371755997454,2.754371755997454,-0.04003800145330566
helipr,kaist05,v_savgol_w7p3,1247.58320128,6879.393716016873,-2.660745714634686,2.660745714634686,-0.0386770378971018
helipr,kaist05,v_family_a_W3,1247.58320128,6879.393716016873,-2.67109385794447,2.67109385794447,-0.03882746021245339
helipr,kaist05,v_family_a_W5,1247.58320128,6879.393716016873,-2.7791318777517517,2.7791318777517517,-0.040397918660786465
helipr,kaist05,v_family_a_W7,1247.58320128,6879.393716016873,-2.810534588313203,2.810534588313203,-0.04085439363311343
helipr,riverside05,v_forward,855.002921472,6392.355297066538,-0.5100630587858177,0.5100630587858177,-0.007979266406231932
helipr,riverside05,v_central,855.002921472,6392.355297066538,-0.2840239822971853,0.2840239822971853,-0.004443182036948484
helipr,riverside05,v_savgol_w7p3,855.002921472,6392.355297066538,-0.20201065459150414,0.20201065459150414,-0.00316019127854497
helipr,riverside05,v_family_a_W3,855.002921472,6392.355297066538,-0.23423621818619722,0.23423621818619722,-0.003664317881293122
helipr,riverside05,v_family_a_W5,855.002921472,6392.355297066538,-0.24976601309936086,0.24976601309936086,-0.0039072611188239
helipr,riverside05,v_family_a_W7,855.002921472,6392.355297066538,-0.2235971818363396,0.2235971818363396,-0.0034978841357417773
helipr,roundabout01,v_forward,2729.510208512,9036.681033249683,-3.126315354662438,3.126315354662438,-0.034595836050419757
helipr,roundabout01,v_central,2729.510208512,9036.681033249683,-3.958368512792731,3.958368512792731,-0.04380334437199076
helipr,roundabout01,v_savgol_w7p3,2729.510208512,9036.681033249683,-3.8851298988756753,3.8851298988756753,-0.042992885159724874
helipr,roundabout01,v_family_a_W3,2729.510208512,9036.681033249683,-3.8369361715140258,3.8369361715140258,-0.042459572905100364
helipr,roundabout01,v_family_a_W5,2729.510208512,9036.681033249683,-3.9759868269538856,3.9759868269538856,-0.04399830880745472
helipr,roundabout01,v_family_a_W7,2729.510208512,9036.681033249683,-3.9723825154378574,3.9723825154378574,-0.04395842346124447
helipr,town01,v_forward,2413.907833088,7828.270561318673,-3.98211399469983,3.98211399469983,-0.05086837461107173
helipr,town01,v_central,2413.907833088,7828.270561318673,-4.261923601219678,4.261923601219678,-0.05444272228247763
helipr,town01,v_savgol_w7p3,2413.907833088,7828.270561318673,-4.106320842623973,4.106320842623973,-0.05245501941277132
helipr,town01,v_family_a_W3,2413.907833088,7828.270561318673,-4.1816613650698855,4.1816613650698855,-0.0534174353366433
helipr,town01,v_family_a_W5,2413.907833088,7828.270561318673,-4.515539602006356,4.515539602006356,-0.05768246724019351
helipr,town01,v_family_a_W7,2413.907833088,7828.270561318673,-4.638856819307875,4.638856819307875,-0.05925774771032517
oxford,2014-11-25-09-18-32_rtk,v_forward,2391.996906,9047.842577653037,334.3990764565733,334.3990764565733,3.6958984817275047
oxford,2014-11-25-09-18-32_rtk,v_central,2391.996906,9047.842577653037,282.2957117456299,282.2957117456299,3.1200334148481166
oxford,2014-11-25-09-18-32_rtk,v_savgol_w7p3,2391.996906,9047.842577653037,447.99480950008183,447.99480950008183,4.951399249657252
oxford,2014-11-25-09-18-32_rtk,v_family_a_W3,2391.996906,9047.842577653037,293.0909064542302,293.0909064542302,3.2393457770598886
oxford,2014-11-25-09-18-32_rtk,v_family_a_W5,2391.996906,9047.842577653037,245.4903753166709,245.4903753166709,2.713247641189065
oxford,2014-11-25-09-18-32_rtk,v_family_a_W7,2391.996906,9047.842577653037,234.23275967076188,234.23275967076188,2.5888244369910405
oxford,2014-12-09-13-21-02_rtk,v_forward,2359.998982,8917.5829559651,10.367309765033497,10.367309765033497,0.11625694783246905
oxford,2014-12-09-13-21-02_rtk,v_central,2359.998982,8917.5829559651,-3.9881095926666603,3.9881095926666603,-0.044721867039083235
oxford,2014-12-09-13-21-02_rtk,v_savgol_w7p3,2359.998982,8917.5829559651,135.04583070308217,135.04583070308217,1.5143770612500786
oxford,2014-12-09-13-21-02_rtk,v_family_a_W3,2359.998982,8917.5829559651,-13.608004061410611,13.608004061410611,-0.15259744853069207
oxford,2014-12-09-13-21-02_rtk,v_family_a_W5,2359.998982,8917.5829559651,-17.998325800854218,17.998325800854218,-0.20182964251333238
oxford,2014-12-09-13-21-02_rtk,v_family_a_W7,2359.998982,8917.5829559651,-7.827611426204385,7.827611426204385,-0.08777727625139033
oxford,2015-02-13-09-16-26_rtk,v_forward,2209.996771,9007.596673576614,31.38624031624022,31.38624031624022,0.3484418924784939
oxford,2015-02-13-09-16-26_rtk,v_central,2209.996771,9007.596673576614,-3.07684292506201,3.07684292506201,-0.034158311440473266
oxford,2015-02-13-09-16-26_rtk,v_savgol_w7p3,2209.996771,9007.596673576614,-412.2083186029795,412.2083186029795,-4.576229748520761
oxford,2015-02-13-09-16-26_rtk,v_family_a_W3,2209.996771,9007.596673576614,-26.10607477598751,26.10607477598751,-0.2898228653217625
oxford,2015-02-13-09-16-26_rtk,v_family_a_W5,2209.996771,9007.596673576614,-17.82900749428336,17.82900749428336,-0.19793301299317678
oxford,2015-02-13-09-16-26_rtk,v_family_a_W7,2209.996771,9007.596673576614,-12.789053346738001,12.789053346738001,-0.14198075036212626
nuscenes,scene-0001,v_forward,19.41835,103.26685863244404,1.154305611371484,1.154305611371484,1.1177890241437325
nuscenes,scene-0001,v_central,19.41835,103.26685863244404,1.0467086834526356,1.0467086834526356,1.0135959370839078
nuscenes,scene-0001,v_savgol_w7p3,19.41835,103.26685863244404,2.1493300420191446,2.1493300420191446,2.081335745545643
nuscenes,scene-0001,v_family_a_W3,19.41835,103.26685863244404,1.0569807735835752,1.0569807735835752,1.023543068493706
nuscenes,scene-0001,v_family_a_W5,19.41835,103.26685863244404,1.0454142895805916,1.0454142895805916,1.0123424915068993
nuscenes,scene-0001,v_family_a_W7,19.41835,103.26685863244404,1.0448827880376115,1.0448827880376115,1.0118278040747273
nuscenes,scene-0061,v_forward,19.09956,90.51707921776614,-0.16138249491824297,0.16138249491824297,-0.17828955188665413
nuscenes,scene-0061,v_central,19.09956,90.51707921776614,0.21122842542951048,0.21122842542951048,0.2333575356771475
nuscenes,scene-0061,v_savgol_w7p3,19.09956,90.51707921776614,2.1567372947977503,2.1567372947977503,2.3826854704503537
nuscenes,scene-0061,v_family_a_W3,19.09956,90.51707921776614,0.23030814625896312,0.23030814625896312,0.25443612216528483
nuscenes,scene-0061,v_family_a_W5,19.09956,90.51707921776614,0.21451473738612492,0.21451473738612492,0.2369881344381926
