dataset,method,n,median_dist_m,median_drift_abs_m,median_drift_pct
boreas,v_central,3,7958.848592431158,0.7396635265849909,-0.00928799088950792
boreas,v_family_a_W3,3,7958.848592431158,0.6174746577198675,-0.007753659318424105
boreas,v_family_a_W5,3,7958.848592431158,0.6703822292265613,-0.008418022267897856
boreas,v_family_a_W7,3,7958.848592431158,0.6965560445432857,-0.008746688140240913
helipr,v_central,6,7353.832138667773,1.9651312798164327,-0.025614342996465537
helipr,v_family_a_W3,6,7353.832138667773,1.8519618191107838,-0.02372763185825377
helipr,v_family_a_W5,6,7353.832138667773,1.9284952752818754,-0.02707002386589061
helipr,v_family_a_W7,6,7353.832138667773,1.951390510991132,-0.029455013689058063
helipr,v_forward,6,7353.832138667773,1.7999029656361927,-0.021287551228325846
helipr,v_savgol_w7p3,6,7353.832138667773,1.851593659068385,-0.02366307461602173
kitti,v_central,3,4115.801090622394,2.63292502860304,0.07077860703871129
kitti,v_family_a_W3,3,4115.801090622394,2.7916790463041252,0.07504625162130066
kitti,v_family_a_W5,3,4115.801090622394,2.6858112801119205,0.07220030160753978
kitti,v_family_a_W7,3,4115.801090622394,2.567380307408257,0.06901662596651614
kitti,v_forward,3,4115.801090622394,3.0327940383276655,0.08152793381360783
kitti,v_savgol_w7p3,3,4115.801090622394,172.06498154289784,3.67338807781037
kitti360,v_central,10,7518.148591289197,10.367778273130625,0.23006051585549692
kitti360,v_family_a_W3,10,7518.148591289197,10.505727084190767,0.2333254470329069
kitti360,v_family_a_W5,10,7518.148591289197,10.365280553250159,0.23058632372628915
kitti360,v_family_a_W7,10,7518.148591289197,10.208224605265968,0.22857542266380237
nuscenes,v_central,6,103.70263073009373,0.7773889785244208,1.0687390241500663
nuscenes,v_family_a_W3,6,103.70263073009373,0.77981460532326,1.0704441793165373
nuscenes,v_family_a_W5,6,103.70263073009373,0.7778884040884932,1.0679882551001485
nuscenes,v_family_a_W7,6,103.70263073009373,0.7779349107465805,1.0669331771022654
nuscenes,v_forward,6,103.70263073009373,0.9283887643213014,1.1264833397301097
nuscenes,v_savgol_w7p3,6,103.70263073009373,2.0575655329991847,2.1005147000018667
oxford,v_central,3,9007.596673576614,3.9881095926666603,-0.034158311440473266
oxford,v_family_a_W3,3,9007.596673576614,26.10607477598751,-0.15259744853069207
oxford,v_family_a_W5,3,9007.596673576614,17.998325800854218,-0.19793301299317678
oxford,v_family_a_W7,3,9007.596673576614,12.789053346738001,-0.08777727625139033
oxford,v_forward,3,9007.596673576614,31.38624031624022,0.3484418924784939
oxford,v_savgol_w7p3,3,9007.596673576614,412.2083186029795,1.5143770612500786
pit30m,v_central,53,1094.9536489856641,0.29035050946095,-0.029062965280521602
pit30m,v_family_a_W3,53,1094.9536489856641,0.29014824263492756,-0.02893803967859464
pit30m,v_family_a_W5,53,1094.9536489856641,0.2902846587236354,-0.029123624142149997
pit30m,v_family_a_W7,53,1094.9536489856641,0.2906290669637883,-0.02939241596976631
