method,kappa_bin,n,rmse_vs_ins,sequence
central,0e+00-1e-03,8387,0.08508699751009817,bridge01
central,1e-03-5e-03,6555,0.0700366368780949,bridge01
central,5e-03-2e-02,2394,0.050786863483411375,bridge01
central,2e-02-1e-01,1372,0.0398406961612459,bridge01
central,1e-01-1e+00,2731,0.013997388643143071,bridge01
savgol_w7p3,0e+00-1e-03,8387,0.06540538589072373,bridge01
savgol_w7p3,1e-03-5e-03,6555,0.055169621125407096,bridge01
savgol_w7p3,5e-03-2e-02,2394,0.042459618279865025,bridge01
savgol_w7p3,2e-02-1e-01,1372,0.03539107541442251,bridge01
savgol_w7p3,1e-01-1e+00,2731,0.013572836332980398,bridge01
family_a_W5,0e+00-1e-03,8387,0.03949166911670673,bridge01
family_a_W5,1e-03-5e-03,6555,0.03936780438080079,bridge01
family_a_W5,5e-03-2e-02,2394,0.03555703515681006,bridge01
family_a_W5,2e-02-1e-01,1372,0.03412062726422354,bridge01
family_a_W5,1e-01-1e+00,2731,0.013750461962259704,bridge01
central,0e+00-1e-03,2487,0.07848158764318978,dcc05
central,1e-03-5e-03,2702,0.14531089053862542,dcc05
central,5e-03-2e-02,1309,0.21841189393979257,dcc05
central,2e-02-1e-01,1133,0.2447365299626924,dcc05
central,1e-01-1e+00,3179,0.23756120354171067,dcc05
savgol_w7p3,0e+00-1e-03,2487,0.07708222505907045,dcc05
savgol_w7p3,1e-03-5e-03,2702,0.14487833574064232,dcc05
savgol_w7p3,5e-03-2e-02,1309,0.21862400106511545,dcc05
savgol_w7p3,2e-02-1e-01,1133,0.2478277503160055,dcc05
savgol_w7p3,1e-01-1e+00,3179,0.2373850426487531,dcc05
family_a_W5,0e+00-1e-03,2487,0.07749204675902803,dcc05
family_a_W5,1e-03-5e-03,2702,0.14746626826022227,dcc05
family_a_W5,5e-03-2e-02,1309,0.2091461517755413,dcc05
family_a_W5,2e-02-1e-01,1133,0.23945609203128354,dcc05
family_a_W5,1e-01-1e+00,3179,0.23045306184863534,dcc05
