method,endpoint_err_m,relative_err,total_polyline_len_m,sequence
raw_poly_len,0.0,0.0,23044.28935245002,bridge01
central,2.1418299833383365,9.294406742513071e-05,23044.28935245002,bridge01
savgol_w7p3,2.0982960329961293,9.10549247539735e-05,23044.28935245002,bridge01
smoothing_spline_tuned,2.167529275131602,9.405928045688051e-05,23044.28935245002,bridge01
family_a_W5,2.1427823459596653,9.298539491441723e-05,23044.28935245002,bridge01
family_a_W7,2.150460465703507,9.331858460954773e-05,23044.28935245002,bridge01
raw_poly_len,0.0,0.0,5305.618872067648,dcc05
central,0.43988768495294345,8.290977839904946e-05,5305.618872067648,dcc05
savgol_w7p3,0.4524472181849674,8.527699201443857e-05,5305.618872067648,dcc05
smoothing_spline_tuned,0.5415713542709725,0.00010207505803369497,5305.618872067648,dcc05
family_a_W5,0.4665739423287238,8.793958887342687e-05,5305.618872067648,dcc05
family_a_W7,0.5167878004351522,9.740386803052727e-05,5305.618872067648,dcc05
raw_poly_len,0.0,0.0,6876.775539177148,kaist05
central,0.43944072130975653,6.390214698825818e-05,6876.775539177148,kaist05
savgol_w7p3,0.44226145249860677,6.431232922741671e-05,6876.775539177148,kaist05
smoothing_spline_tuned,0.4413967610717955,6.418658840282746e-05,6876.775539177148,kaist05
family_a_W5,0.45323666090091635,6.590831099820209e-05,6876.775539177148,kaist05
family_a_W7,0.4602071409467781,6.692193722551615e-05,6876.775539177148,kaist05
raw_poly_len,0.0,0.0,6392.489322349476,riverside05
central,0.32098273743924643,5.0212479247642046e-05,6392.489322349476,riverside05
savgol_w7p3,0.33536904604558276,5.246298102885563e-05,6392.489322349476,riverside05
smoothing_spline_tuned,0.31558247571526515,4.936769696461173e-05,6392.489322349476,riverside05
family_a_W5,0.323321376654616,5.057832095615976e-05,6392.489322349476,riverside05
family_a_W7,0.3028197011289006,4.737117042498292e-05,6392.489322349476,riverside05
raw_poly_len,0.0,0.0,9032.686546043464,roundabout01
central,0.5131268912420701,5.680778233878072e-05,9032.686546043464,roundabout01
savgol_w7p3,0.4749772558333367,5.2584273063409723e-05,9032.686546043464,roundabout01
smoothing_spline_tuned,0.5017660040417768,5.5550029493889896e-05,9032.686546043464,roundabout01
family_a_W5,0.49776161473049974,5.5106707422337314e-05,9032.686546043464,roundabout01
family_a_W7,0.49611251495646397,5.4924137179737884e-05,9032.686546043464,roundabout01
raw_poly_len,0.0,0.0,7824.312982864444,town01
central,0.7535947202337114,9.631449072705984e-05,7824.312982864444,town01
savgol_w7p3,0.6777311748490932,8.661861767714958e-05,7824.312982864444,town01
smoothing_spline_tuned,0.7263498302948256,9.28324099362539e-05,7824.312982864444,town01
family_a_W5,0.7919861652391633,0.00010122117647564002,7824.312982864444,town01
family_a_W7,0.8090848478057956,0.00010340650349464847,7824.312982864444,town01
