ds_factor,effective_hz,noise_sigma,jitter_sigma,method,rmse,n
1,9.999948800267001,0.0,0.0,central,0.027219024151239286,24140
1,9.999948800267001,0.0,0.0,savgol_w7p3,0.027405079580133513,24140
1,9.999948800267001,0.0,0.0,smoothing_spline_default,0.4386160982110661,24140
1,9.999948800267001,0.0,0.0,smoothing_spline_tuned,0.03565729838546971,24140
1,9.999948800267001,0.0,0.0,family_a_W5,0.0231564442215176,24140
1,9.999948800267001,0.0,0.0,family_a_W7,0.025368776016443457,24140
1,10.00246050458345,0.0,0.005,central,0.1484261441719032,24140
1,10.00246050458345,0.0,0.005,savgol_w7p3,0.027480335942516497,24140
1,10.00246050458345,0.0,0.005,smoothing_spline_default,0.4379423467209256,24140
1,10.00246050458345,0.0,0.005,smoothing_spline_tuned,0.295671202942519,24140
1,10.00246050458345,0.0,0.005,family_a_W5,0.05550582004261473,24140
1,10.00246050458345,0.0,0.005,family_a_W7,0.039989801956553245,24140
1,10.010164834523069,0.0,0.02,central,0.6514727824564897,24140
1,10.010164834523069,0.0,0.02,savgol_w7p3,0.08731235570650406,24140
1,10.010164834523069,0.0,0.02,smoothing_spline_default,0.43752327369640104,24140
1,10.010164834523069,0.0,0.02,smoothing_spline_tuned,181.85339131484795,24140
1,10.010164834523069,0.0,0.02,family_a_W5,0.1999627891239449,24140
1,10.010164834523069,0.0,0.02,family_a_W7,0.12550096525689944,24140
1,9.999948800267001,0.05,0.0,central,0.3860653586150954,24140
1,9.999948800267001,0.05,0.0,savgol_w7p3,0.28136273308122817,24140
1,9.999948800267001,0.05,0.0,smoothing_spline_default,0.4381818270373874,24140
1,9.999948800267001,0.05,0.0,smoothing_spline_tuned,0.05097784127326284,24140
1,9.999948800267001,0.05,0.0,family_a_W5,0.1347294320976365,24140
1,9.999948800267001,0.05,0.0,family_a_W7,0.08562937580977328,24140
1,10.005082838271948,0.05,0.005,central,0.41523089621626924,24140
1,10.005082838271948,0.05,0.005,savgol_w7p3,0.28300896412539694,24140
1,10.005082838271948,0.05,0.005,smoothing_spline_default,0.4382405215529909,24140
1,10.005082838271948,0.05,0.005,smoothing_spline_tuned,0.051213969245991704,24140
1,10.005082838271948,0.05,0.005,family_a_W5,0.1444072817226913,24140
1,10.005082838271948,0.05,0.005,family_a_W7,0.0915924311640048,24140
1,9.983921826470747,0.05,0.02,central,0.7753827610549663,24140
1,9.983921826470747,0.05,0.02,savgol_w7p3,0.27880437150286874,24140
1,9.983921826470747,0.05,0.02,smoothing_spline_default,0.43670440926005283,24140
1,9.983921826470747,0.05,0.02,smoothing_spline_tuned,1.4704158309546627,24140
1,9.983921826470747,0.05,0.02,family_a_W5,0.24331911940219503,24140
1,9.983921826470747,0.05,0.02,family_a_W7,0.15184274206531923,24140
1,9.999948800267001,0.2,0.0,central,1.5354276126774336,24140
1,9.999948800267001,0.2,0.0,savgol_w7p3,1.1123188606701,24140
1,9.999948800267001,0.2,0.0,smoothing_spline_default,0.43210626354216075,24140
1,9.999948800267001,0.2,0.0,smoothing_spline_tuned,0.09361408334842304,24140
1,9.999948800267001,0.2,0.0,family_a_W5,0.5341123385257787,24140
1,9.999948800267001,0.2,0.0,family_a_W7,0.3327125761328181,24140
1,10.005288890568497,0.2,0.005,central,1.5265248411802415,24140
1,10.005288890568497,0.2,0.005,savgol_w7p3,1.1023411213614571,24140
1,10.005288890568497,0.2,0.005,smoothing_spline_default,0.43621675003904514,24140
1,10.005288890568497,0.2,0.005,smoothing_spline_tuned,0.10106185994919198,24140
1,10.005288890568497,0.2,0.005,family_a_W5,0.530626725552787,24140
1,10.005288890568497,0.2,0.005,family_a_W7,0.32821576458789775,24140
1,10.019990832287979,0.2,0.02,central,1.7423924265510873,24140
1,10.019990832287979,0.2,0.02,savgol_w7p3,1.1095985758476714,24140
1,10.019990832287979,0.2,0.02,smoothing_spline_default,0.4292532118267175,24140
1,10.019990832287979,0.2,0.02,smoothing_spline_tuned,0.1299393878773738,24140
1,10.019990832287979,0.2,0.02,family_a_W5,0.5690674998289802,24140
1,10.019990832287979,0.2,0.02,family_a_W7,0.3521599748797758,24140
1,9.999948800267001,0.5,0.0,central,3.8864719398806025,24140
1,9.999948800267001,0.5,0.0,savgol_w7p3,2.7825085680677217,24140
1,9.999948800267001,0.5,0.0,smoothing_spline_default,0.4160937762156112,24140
1,9.999948800267001,0.5,0.0,smoothing_spline_tuned,0.1496397192712616,24140
1,9.999948800267001,0.5,0.0,family_a_W5,1.3136058264718313,24140
1,9.999948800267001,0.5,0.0,family_a_W7,0.8159877161505507,24140
1,10.00120890288443,0.5,0.005,central,3.9187189603253194,24140
1,10.00120890288443,0.5,0.005,savgol_w7p3,2.801309922909269,24140
1,10.00120890288443,0.5,0.005,smoothing_spline_default,0.40398776821376464,24140
1,10.00120890288443,0.5,0.005,smoothing_spline_tuned,0.14046461710089894,24140
1,10.00120890288443,0.5,0.005,family_a_W5,1.341393806141541,24140
1,10.00120890288443,0.5,0.005,family_a_W7,0.8299615043121638,24140
1,9.995013003966982,0.5,0.02,central,4.170643541617251,24140
1,9.995013003966982,0.5,0.02,savgol_w7p3,2.8089988725990716,24140
1,9.995013003966982,0.5,0.02,smoothing_spline_default,0.41539472880510586,24140
1,9.995013003966982,0.5,0.02,smoothing_spline_tuned,0.14731560639711613,24140
1,9.995013003966982,0.5,0.02,family_a_W5,1.347578805594371,24140
1,9.995013003966982,0.5,0.02,family_a_W7,0.8307399749596415,24140
2,4.999987200030572,0.0,0.0,central,0.023359406344658044,12070
2,4.999987200030572,0.0,0.0,savgol_w7p3,0.02599493080343333,12070
2,4.999987200030572,0.0,0.0,smoothing_spline_default,0.4378650131483639,12070
2,4.999987200030572,0.0,0.0,smoothing_spline_tuned,0.029105427138828625,12070
2,4.999987200030572,0.0,0.0,family_a_W5,0.030054445877675025,12070
2,4.999987200030572,0.0,0.0,family_a_W7,0.036653273977084996,12070
2,4.999188118331461,0.0,0.005,central,0.07748024135177299,12070
2,4.999188118331461,0.0,0.005,savgol_w7p3,0.02611299827169032,12070
2,4.999188118331461,0.0,0.005,smoothing_spline_default,0.4378585640618542,12070
2,4.999188118331461,0.0,0.005,smoothing_spline_tuned,0.1399749198102031,12070
2,4.999188118331461,0.0,0.005,family_a_W5,0.038956436082357444,12070
2,4.999188118331461,0.0,0.005,family_a_W7,0.03988397325340738,12070
2,4.99997116051454,0.0,0.02,central,0.3058264940316033,12070
2,4.99997116051454,0.0,0.02,savgol_w7p3,0.02702409603038726,12070
2,4.99997116051454,0.0,0.02,smoothing_spline_default,0.4374035918493488,12070
2,4.99997116051454,0.0,0.02,smoothing_spline_tuned,0.7150398673387452,12070
2,4.99997116051454,0.0,0.02,family_a_W5,0.10518736453925634,12070
2,4.99997116051454,0.0,0.02,family_a_W7,0.07154483670697943,12070
2,4.999987200030572,0.05,0.0,central,0.19354021270820562,12070
2,4.999987200030572,0.05,0.0,savgol_w7p3,0.1417700233987932,12070
2,4.999987200030572,0.05,0.0,smoothing_spline_default,0.4377469737992007,12070
2,4.999987200030572,0.05,0.0,smoothing_spline_tuned,0.06022653771080929,12070
