ds_factor,noise_sigma,jitter_sigma,method,median,q1,q3
1,0.0,0.0,central,0.04886504296773937,0.02753381656594429,0.07528582838194336
1,0.0,0.0,family_a_W5,0.026290901943419875,0.023412707697069903,0.03448108512679669
1,0.0,0.0,family_a_W7,0.029114097932163685,0.02448772466963101,0.036588081287455554
1,0.0,0.0,savgol_w7p3,0.04078389645071127,0.026391042712225848,0.05775946199093768
1,0.0,0.0,smoothing_spline_default,0.5145754849519841,0.5055452220710469,0.5231368700832316
1,0.0,0.0,smoothing_spline_tuned,0.07470815838668313,0.029520093258885292,0.11399444979033457
1,0.0,0.005,central,0.24788626046251172,0.176017602884842,0.33122012889853714
1,0.0,0.005,family_a_W5,0.09762614314509949,0.06409357161446644,0.1472434021561833
1,0.0,0.005,family_a_W7,0.06500227928962711,0.0453022422952664,0.0951822849605565
1,0.0,0.005,savgol_w7p3,0.0409459872363936,0.0265867178018369,0.058059719550203254
1,0.0,0.005,smoothing_spline_default,0.515570723141896,0.5055700278624635,0.5229645677465704
1,0.0,0.005,smoothing_spline_tuned,0.4466873196089677,0.3536606710404805,0.6427023279527095
1,0.0,0.02,central,0.9317596755903961,0.7793588463335706,1.314181373629421
1,0.0,0.02,family_a_W5,0.31537633266160314,0.2408191610332733,0.438414157883338
1,0.0,0.02,family_a_W7,0.21974255208692256,0.151222482949494,0.28334291862916
1,0.0,0.02,savgol_w7p3,0.12026433364963775,0.06770580492686044,0.17050418325304473
1,0.0,0.02,smoothing_spline_default,0.5056059122690547,0.4966056568838946,0.5227113500776637
1,0.0,0.02,smoothing_spline_tuned,92.28636831250262,23.972243332147496,172.03375648430188
1,0.05,0.0,central,0.39178749867807383,0.3807824677714558,0.41389542869911405
1,0.05,0.0,family_a_W5,0.13650608639157874,0.13406162383740422,0.14460459618737653
1,0.05,0.0,family_a_W7,0.08780753253807477,0.08608254092579314,0.09103173813592816
1,0.05,0.0,savgol_w7p3,0.28375617423277344,0.2769490375563424,0.30052745484469223
1,0.05,0.0,smoothing_spline_default,0.5104482217884679,0.4984597412866141,0.5226561397031929
1,0.05,0.0,smoothing_spline_tuned,0.054565006011367996,0.048973119186718116,0.06368440312140776
1,0.05,0.005,central,0.4728288720370062,0.42538456332468144,0.5137687061620515
1,0.05,0.005,family_a_W5,0.16679191385927306,0.14783204377087156,0.19634065273871767
1,0.05,0.005,family_a_W7,0.1031764385435977,0.09614770432659145,0.12387467356544722
1,0.05,0.005,savgol_w7p3,0.2856051676402557,0.2780153584877737,0.30089823737204263
1,0.05,0.005,smoothing_spline_default,0.5106260988187592,0.5027567442832674,0.5231842771277474
1,0.05,0.005,smoothing_spline_tuned,0.14230223014766719,0.05685758157676121,0.21469124830867498
1,0.05,0.02,central,1.0178632593729915,0.883778652654643,1.4097679459113968
1,0.05,0.02,family_a_W5,0.34383362357149194,0.27753776667474805,0.45160158122553373
1,0.05,0.02,family_a_W7,0.2333426155789794,0.17378602669302776,0.29280795455278863
