ds_factor,effective_hz,noise_sigma,jitter_sigma,method,rmse,n,sequence
1,9.99998720001305,0.0,0.0,central,0.06925189212541945,21439,bridge01
1,9.99998720001305,0.0,0.0,savgol_w7p3,0.05416271332128902,21439,bridge01
1,9.99998720001305,0.0,0.0,smoothing_spline_default,0.5153533013778144,21439,bridge01
1,9.99998720001305,0.0,0.0,smoothing_spline_tuned,0.11407292692448058,21439,bridge01
1,9.99998720001305,0.0,0.0,family_a_W5,0.03650801158135794,21439,bridge01
1,9.99998720001305,0.0,0.0,family_a_W7,0.037830968433979435,21439,bridge01
1,10.003420559629653,0.0,0.005,central,0.4451779570795118,21439,bridge01
1,10.003420559629653,0.0,0.005,savgol_w7p3,0.0544116385302707,21439,bridge01
1,10.003420559629653,0.0,0.005,smoothing_spline_default,0.51734710866291,21439,bridge01
1,10.003420559629653,0.0,0.005,smoothing_spline_tuned,0.8979259037008913,21439,bridge01
1,10.003420559629653,0.0,0.005,family_a_W5,0.15666514371085172,21439,bridge01
1,10.003420559629653,0.0,0.005,family_a_W7,0.10197403289660945,21439,bridge01
1,9.995445164138502,0.0,0.02,central,1.967077649178601,21439,bridge01
1,9.995445164138502,0.0,0.02,savgol_w7p3,0.1762668071398025,21439,bridge01
1,9.995445164138502,0.0,0.02,smoothing_spline_default,0.5093039919744722,21439,bridge01
1,9.995445164138502,0.0,0.02,smoothing_spline_tuned,2779.973174479832,21439,bridge01
1,9.995445164138502,0.0,0.02,family_a_W5,0.606825573459188,21439,bridge01
1,9.995445164138502,0.0,0.02,family_a_W7,0.3777634089434981,21439,bridge01
1,9.99998720001305,0.05,0.0,central,0.3790215041569093,21439,bridge01
1,9.99998720001305,0.05,0.0,savgol_w7p3,0.27547780571471386,21439,bridge01
1,9.99998720001305,0.05,0.0,smoothing_spline_default,0.516944013860049,21439,bridge01
1,9.99998720001305,0.05,0.0,smoothing_spline_tuned,0.05815217074947315,21439,bridge01
1,9.99998720001305,0.05,0.0,family_a_W5,0.13383902108399345,21439,bridge01
1,9.99998720001305,0.05,0.0,family_a_W7,0.08817302880229683,21439,bridge01
1,10.003149084783024,0.05,0.005,central,0.5824899101574041,21439,bridge01
1,10.003149084783024,0.05,0.005,savgol_w7p3,0.2763508232752326,21439,bridge01
1,10.003149084783024,0.05,0.005,smoothing_spline_default,0.5164083997545625,21439,bridge01
1,10.003149084783024,0.05,0.005,smoothing_spline_tuned,0.481963321751713,21439,bridge01
1,10.003149084783024,0.05,0.005,family_a_W5,0.20280868561370813,21439,bridge01
1,10.003149084783024,0.05,0.005,family_a_W7,0.12903363355626807,21439,bridge01
1,10.016264554224273,0.05,0.02,central,1.97784497826565,21439,bridge01
1,10.016264554224273,0.05,0.02,savgol_w7p3,0.3276595295746441,21439,bridge01
1,10.016264554224273,0.05,0.02,smoothing_spline_default,0.5064954863534595,21439,bridge01
1,10.016264554224273,0.05,0.02,smoothing_spline_tuned,8.007384407598531,21439,bridge01
1,10.016264554224273,0.05,0.02,family_a_W5,0.6127331075846802,21439,bridge01
1,10.016264554224273,0.05,0.02,family_a_W7,0.3836060244689233,21439,bridge01
1,9.99998720001305,0.2,0.0,central,1.4927726651142283,21439,bridge01
1,9.99998720001305,0.2,0.0,savgol_w7p3,1.081456088869805,21439,bridge01
1,9.99998720001305,0.2,0.0,smoothing_spline_default,0.5034972508366644,21439,bridge01
1,9.99998720001305,0.2,0.0,smoothing_spline_tuned,0.10107705345427165,21439,bridge01
1,9.99998720001305,0.2,0.0,family_a_W5,0.515178932342455,21439,bridge01
1,9.99998720001305,0.2,0.0,family_a_W7,0.3184913279107973,21439,bridge01
1,9.99676489957664,0.2,0.005,central,1.5795189397192637,21439,bridge01
1,9.99676489957664,0.2,0.005,savgol_w7p3,1.0940280357904988,21439,bridge01
1,9.99676489957664,0.2,0.005,smoothing_spline_default,0.5102471546049163,21439,bridge01
1,9.99676489957664,0.2,0.005,smoothing_spline_tuned,0.10063838433132193,21439,bridge01
1,9.99676489957664,0.2,0.005,family_a_W5,0.5490823174569264,21439,bridge01
1,9.99676489957664,0.2,0.005,family_a_W7,0.34099070405345056,21439,bridge01
1,10.014974425023192,0.2,0.02,central,2.482827811173145,21439,bridge01
1,10.014974425023192,0.2,0.02,savgol_w7p3,1.09820683476652,21439,bridge01
1,10.014974425023192,0.2,0.02,smoothing_spline_default,0.5025195659100216,21439,bridge01
1,10.014974425023192,0.2,0.02,smoothing_spline_tuned,2.0617265307912533,21439,bridge01
1,10.014974425023192,0.2,0.02,family_a_W5,0.7899639537896563,21439,bridge01
1,10.014974425023192,0.2,0.02,family_a_W7,0.48582882824492557,21439,bridge01
1,9.99998720001305,0.5,0.0,central,3.6962155658375853,21439,bridge01
1,9.99998720001305,0.5,0.0,savgol_w7p3,2.6613409356452205,21439,bridge01
1,9.99998720001305,0.5,0.0,smoothing_spline_default,0.47611406187299465,21439,bridge01
1,9.99998720001305,0.5,0.0,smoothing_spline_tuned,0.16673014454074045,21439,bridge01
1,9.99998720001305,0.5,0.0,family_a_W5,1.3015697322603572,21439,bridge01
1,9.99998720001305,0.5,0.0,family_a_W7,0.8074939649248837,21439,bridge01
1,10.003987974646233,0.5,0.005,central,3.7173641379037656,21439,bridge01
1,10.003987974646233,0.5,0.005,savgol_w7p3,2.6698212449669834,21439,bridge01
1,10.003987974646233,0.5,0.005,smoothing_spline_default,0.4803195249512423,21439,bridge01
1,10.003987974646233,0.5,0.005,smoothing_spline_tuned,0.1646830593957823,21439,bridge01
1,10.003987974646233,0.5,0.005,family_a_W5,1.2802713964666514,21439,bridge01
1,10.003987974646233,0.5,0.005,family_a_W7,0.7979451495924209,21439,bridge01
1,9.996196455315118,0.5,0.02,central,4.36700488545433,21439,bridge01
1,9.996196455315118,0.5,0.02,savgol_w7p3,2.7046528505833147,21439,bridge01
1,9.996196455315118,0.5,0.02,smoothing_spline_default,0.46735075201229537,21439,bridge01
1,9.996196455315118,0.5,0.02,smoothing_spline_tuned,0.3855452230471462,21439,bridge01
1,9.996196455315118,0.5,0.02,family_a_W5,1.4294316768329254,21439,bridge01
1,9.996196455315118,0.5,0.02,family_a_W7,0.888982847998265,21439,bridge01
2,4.999987200036256,0.0,0.0,central,0.05169868872352409,10720,bridge01
2,4.999987200036256,0.0,0.0,savgol_w7p3,0.04933397022816752,10720,bridge01
2,4.999987200036256,0.0,0.0,smoothing_spline_default,0.5104042082187485,10720,bridge01
2,4.999987200036256,0.0,0.0,smoothing_spline_tuned,0.055238451366468835,10720,bridge01
2,4.999987200036256,0.0,0.0,family_a_W5,0.03996642648670886,10720,bridge01
2,4.999987200036256,0.0,0.0,family_a_W7,0.045112631775570844,10720,bridge01
2,5.000428427985964,0.0,0.005,central,0.22818417354964554,10720,bridge01
2,5.000428427985964,0.0,0.005,savgol_w7p3,0.04946184911323135,10720,bridge01
2,5.000428427985964,0.0,0.005,smoothing_spline_default,0.5080699721985587,10720,bridge01
2,5.000428427985964,0.0,0.005,smoothing_spline_tuned,0.4206636940100582,10720,bridge01
