W,degree,rmse_vs_ins
2,2,0.021741365798754093
2,3,0.03317337591206004
2,4,0.03320196846833106
2,5,0.03320196846833106
3,2,0.02372746206115632
3,3,0.023963751458074
3,4,0.023962108746093884
3,5,0.03652418012599185
4,2,0.026749639559010795
4,3,0.022477160395893633
4,4,0.022475876409145272
4,5,0.02650211134651473
5,2,0.029990304016747044
5,3,0.0231564442215176
5,4,0.023154102163577855
5,5,0.02356412063508045
6,2,0.033545615515662194
6,3,0.024233945595156865
6,4,0.024232031491527268
6,5,0.02301762551510263
7,2,0.0374416784222179
7,3,0.025368776016443457
7,4,0.025367312157648616
7,5,0.02338596578935269
9,2,0.04609908032035293
9,3,0.027865418200911155
9,4,0.027864312586569847
9,5,0.024694519393340105
12,2,0.060573400744981375
12,3,0.03249397818890512
12,4,0.032491839759298646
12,5,0.027025096357838244
