W,degree,rmse_vs_ins,sequence
2,2,0.038436811301846945,bridge01
2,3,0.09240631802042609,bridge01
2,4,0.09242148390675411,bridge01
2,5,0.09242148390675411,bridge01
3,2,0.03548600973736705,bridge01
3,3,0.05160207206081225,bridge01
3,4,0.0516024064550204,bridge01
3,5,0.10559110985958428,bridge01
4,2,0.03805164759224418,bridge01
4,3,0.039710663709163437,bridge01
4,4,0.039710704273615345,bridge01
4,5,0.062051681937046736,bridge01
5,2,0.04066287948033748,bridge01
5,3,0.03650801158135794,bridge01
5,4,0.036507944852932274,bridge01
5,5,0.04746499210887405,bridge01
6,2,0.043769894706132725,bridge01
6,3,0.037794342644679506,bridge01
6,4,0.03779405671313295,bridge01
6,5,0.03953440622052414,bridge01
7,2,0.047562815594380685,bridge01
7,3,0.037830968433979435,bridge01
7,4,0.03783035923825588,bridge01
7,5,0.03802886214082296,bridge01
9,2,0.057165852549643036,bridge01
9,3,0.03840819379082033,bridge01
9,4,0.038408680925084454,bridge01
9,5,0.038716987400748075,bridge01
12,2,0.07572142023248346,bridge01
12,3,0.04114716303178415,bridge01
12,4,0.041147613228591416,bridge01
12,5,0.03796197270984189,bridge01
2,2,0.1849476405670294,dcc05
2,3,0.1958605138215093,dcc05
2,4,0.19585616369038142,dcc05
2,5,0.19585616369038142,dcc05
3,2,0.17971735526122612,dcc05
3,3,0.19168303260307495,dcc05
3,4,0.1916800474095784,dcc05
3,5,0.19726198743271203,dcc05
4,2,0.17472178720871726,dcc05
4,3,0.18928759420862293,dcc05
4,4,0.18927157603808228,dcc05
4,5,0.1934749338406203,dcc05
5,2,0.16966080666657424,dcc05
5,3,0.1874058403540731,dcc05
5,4,0.18740013714122145,dcc05
5,5,0.19150839693004262,dcc05
6,2,0.16459528977860358,dcc05
6,3,0.18572830741799978,dcc05
6,4,0.1857253371070029,dcc05
6,5,0.19005703621460246,dcc05
7,2,0.15980326108620005,dcc05
7,3,0.18398331617957173,dcc05
7,4,0.18398012263138283,dcc05
7,5,0.18888730677875576,dcc05
9,2,0.15221699756532486,dcc05
9,3,0.17963151884606643,dcc05
9,4,0.17963170213119617,dcc05
9,5,0.18701272312372677,dcc05
12,2,0.1480137497599325,dcc05
12,3,0.1703599388984991,dcc05
12,4,0.17035460447971917,dcc05
12,5,0.1843299235449734,dcc05
2,2,0.02135237444732533,kaist05
2,3,0.03688290925197253,kaist05
2,4,0.03687728898602051,kaist05
2,5,0.03687728898602051,kaist05
3,2,0.027410246938289484,kaist05
3,3,0.02413719018734921,kaist05
3,4,0.024137533412942776,kaist05
3,5,0.04134655295805654,kaist05
4,2,0.03533205065251332,kaist05
4,3,0.02207559285938986,kaist05
4,4,0.02207542497838354,kaist05
4,5,0.027884614180563812,kaist05
5,2,0.04267489037152908,kaist05
5,3,0.024181498123726806,kaist05
5,4,0.024180202515724215,kaist05
5,5,0.02376325648044256,kaist05
6,2,0.04922703304366505,kaist05
6,3,0.028385699685275247,kaist05
6,4,0.02838460726787858,kaist05
6,5,0.02278940828299059,kaist05
7,2,0.05525240142872207,kaist05
7,3,0.03285941984788392,kaist05
7,4,0.032859512708211004,kaist05
7,5,0.024149058577154305,kaist05
9,2,0.06731192976252004,kaist05
9,3,0.040588427340359806,kaist05
9,4,0.04058804945825983,kaist05
9,5,0.02999321936280373,kaist05
12,2,0.08865023306338216,kaist05
12,3,0.04764118931261894,kaist05
12,4,0.04764141880441554,kaist05
12,5,0.03897045376806729,kaist05
2,2,0.03626686389617556,riverside05
2,3,0.10383669727708153,riverside05
2,4,0.10386489653751188,riverside05
2,5,0.10386489653751188,riverside05
3,2,0.02539240789001426,riverside05
3,3,0.05679963028353003,riverside05
3,4,0.056797641297468275,riverside05
3,5,0.11838470054274225,riverside05
