drive,method,n,dt_med,m1_path_len_err,m3_low_speed_rms,m4_smooth,m4_lag_s,m8_rmse_vs_oxts,m8_bias_vs_oxts
2011_09_30_drive_0028_sync,forward,5177,0.10006105600001547,4.497321574592483e-05,,0.5546784799750065,0.10006105600001547,0.6529034231810129,0.02592976946028288
2011_09_30_drive_0028_sync,central,5177,0.10006105600001547,0.00010757580517939402,,0.21643824920872007,0.10006105600001547,0.6129467591442002,0.025047135319867415
2011_09_30_drive_0028_sync,cubic_global,5177,0.10006105600001547,1.1433912062708274e-05,,0.3125369886916845,0.10006105600001547,0.6318929384191591,0.025973748051653305
2011_09_30_drive_0028_sync,savgol_w7p3,5177,0.10006105600001547,0.03823251085732604,,0.3387128721706812,0.10006105600001547,0.7325154276086127,0.32441236320010847
2011_09_30_drive_0028_sync,smoothing_spline,5177,0.10006105600001547,0.004665770572500172,,0.00821113166472245,0.0,0.6902960401817707,-0.01579694373056223
2011_09_30_drive_0028_sync,family_a_W3,5177,0.10006105600001547,6.421237338116725e-05,,0.1813270360745758,0.10006105600001547,0.6151959890097597,0.02537781762667658
2011_09_30_drive_0028_sync,family_a_W5,5177,0.10006105600001547,0.00015436859539685877,,0.0923890285204868,0.10006105600001547,0.5889545204742529,0.02463565236476495
2011_09_30_drive_0028_sync,family_a_W7,5177,0.10006105600001547,0.00023768945784463646,,0.056173861121048684,0.10006105600001547,0.5648186592683618,0.02394783702189723
2011_09_30_drive_0028_sync,family_a_midspan_W5,5177,0.10006105600001547,3.422796078034196e-05,,0.04865773114606211,0.10006105600001547,0.510280101159772,0.02541697186471663
2011_10_03_drive_0027_sync,forward,4544,0.10004351999998562,4.4238240618943436e-05,0.1442717410154122,0.1025861212597004,0.10004351999998562,0.1640256034130164,0.003087550467623782
2011_10_03_drive_0027_sync,central,4544,0.10004351999998562,6.146768083070686e-05,0.1394352761498493,0.053721085202745544,0.0,0.12863816080150706,0.002393450610318527
2011_10_03_drive_0027_sync,cubic_global,4544,0.10004351999998562,1.358992612798815e-05,0.1391393842255772,0.08814628157417044,0.0,0.1325009068505116,0.0030141579903802582
2011_10_03_drive_0027_sync,savgol_w7p3,4544,0.10004351999998562,0.035933774277884245,0.14332412798617844,0.22823447073371997,0.0,0.3446643966084391,0.28543432783808276
2011_10_03_drive_0027_sync,smoothing_spline,4544,0.10004351999998562,0.006028988282109182,1.9553737435833318,0.0080533215455551,0.0,0.6767981671951983,-0.036721121502349824
2011_10_03_drive_0027_sync,family_a_W3,4544,0.10004351999998562,1.5780704387347022e-05,0.1385372213851404,0.04135602603368597,0.0,0.1287802102590464,0.002746378460554998
2011_10_03_drive_0027_sync,family_a_W5,4544,0.10004351999998562,4.382379852430063e-05,0.13734033816390895,0.023321030675678926,0.0,0.12499088704691194,0.0025100417788018097
2011_10_03_drive_0027_sync,family_a_W7,4544,0.10004351999998562,7.521498752860456e-05,0.13862837044476609,0.017859471387516087,0.0,0.1217624097443973,0.002244563400618737
2011_10_03_drive_0027_sync,family_a_midspan_W5,4544,0.10004351999998562,5.387317782656886e-06,0.1945622696567961,0.01383594882188085,0.0,0.11396225104801659,0.0031609816686481995
2011_10_03_drive_0034_sync,forward,4663,0.10004096000000118,2.3003652228181792e-05,,0.07140725160821067,0.10004096000000118,0.1214152870531518,-0.0004104843522001021
2011_10_03_drive_0034_sync,central,4663,0.10004096000000118,3.13203424413544e-05,,0.03397334815047729,0.0,0.09934697259615466,-0.0010174091048758512
2011_10_03_drive_0034_sync,cubic_global,4663,0.10004096000000118,6.492878777519806e-06,,0.05467616234997592,0.0,0.10184122431299651,-0.0006237922408719051
2011_10_03_drive_0034_sync,savgol_w7p3,4663,0.10004096000000118,0.036651169033854236,,0.3135517117073224,0.0,0.4248727568062251,0.38040977522470487
2011_10_03_drive_0034_sync,smoothing_spline,4663,0.10004096000000118,0.005973224451486625,,0.006241820618469454,0.0,0.5779975770183854,-0.0635596891536604
2011_10_03_drive_0034_sync,family_a_W3,4663,0.10004096000000118,3.4804595909765368e-06,,0.027833734517114683,0.0,0.09965443338440187,-0.0006480721566246654
2011_10_03_drive_0034_sync,family_a_W5,4663,0.10004096000000118,3.0459064489507526e-06,,0.015958069887327602,0.0,0.09732176192146637,-0.0007238265215483154
2011_10_03_drive_0034_sync,family_a_W7,4663,0.10004096000000118,1.1510239394829647e-05,,0.011942519905199239,0.0,0.09544799414754075,-0.0008140912542990839
2011_10_03_drive_0034_sync,family_a_midspan_W5,4663,0.10004096000000118,5.033216315730726e-06,,0.009472355385098686,0.0,0.09241934004655225,-0.0006507801001047207
