scenario,fs,noise_sigma,jitter_sigma,seed,method,rmse,bias,n
circle_r15_v5,2.0,0.0,0.0,0,forward,0.005785027981384923,-0.005785027981384923,41
circle_r15_v5,2.0,0.0,0.0,0,central,0.02311601919754904,-0.02311601919754904,41
circle_r15_v5,2.0,0.0,0.0,0,cubic_global,7.282480503658048e-05,-3.366698850156226e-05,41
circle_r15_v5,2.0,0.0,0.0,0,smoothing_spline,0.24333648177595726,0.022874157761119448,41
circle_r15_v5,2.0,0.0,0.0,0,savgol_w5p2,0.07828684228568222,-0.07828684228568222,41
circle_r15_v5,2.0,0.0,0.0,0,savgol_w7p3,0.000795587555283696,-0.0007955875552836962,41
circle_r15_v5,2.0,0.0,0.0,0,savgol_w9p3,0.0025195647057092716,-0.0025195647057092716,41
circle_r15_v5,2.0,0.0,0.0,0,savgol_w11p3,0.005987873579918153,-0.005987873579918153,41
circle_r15_v5,2.0,0.0,0.0,0,family_a_W3,0.0007955875552859023,-0.0007955875552859023,41
circle_r15_v5,2.0,0.0,0.0,0,family_a_W5,0.005987873579918582,-0.005987873579918583,41
circle_r15_v5,2.0,0.0,0.0,0,family_a_W7,0.02114342575666939,-0.02110757977187552,41
circle_r15_v5,2.0,0.0,0.0,0,family_a_midspan_W5,0.011028307588591437,0.011028307588591437,41
circle_r15_v5,2.0,0.0,0.0,1,forward,0.005785027981384923,-0.005785027981384923,41
circle_r15_v5,2.0,0.0,0.0,1,central,0.02311601919754904,-0.02311601919754904,41
circle_r15_v5,2.0,0.0,0.0,1,cubic_global,7.282480503658048e-05,-3.366698850156226e-05,41
circle_r15_v5,2.0,0.0,0.0,1,smoothing_spline,0.24333648177595726,0.022874157761119448,41
circle_r15_v5,2.0,0.0,0.0,1,savgol_w5p2,0.07828684228568222,-0.07828684228568222,41
circle_r15_v5,2.0,0.0,0.0,1,savgol_w7p3,0.000795587555283696,-0.0007955875552836962,41
circle_r15_v5,2.0,0.0,0.0,1,savgol_w9p3,0.0025195647057092716,-0.0025195647057092716,41
circle_r15_v5,2.0,0.0,0.0,1,savgol_w11p3,0.005987873579918153,-0.005987873579918153,41
circle_r15_v5,2.0,0.0,0.0,1,family_a_W3,0.0007955875552859023,-0.0007955875552859023,41
circle_r15_v5,2.0,0.0,0.0,1,family_a_W5,0.005987873579918582,-0.005987873579918583,41
circle_r15_v5,2.0,0.0,0.0,1,family_a_W7,0.02114342575666939,-0.02110757977187552,41
circle_r15_v5,2.0,0.0,0.0,1,family_a_midspan_W5,0.011028307588591437,0.011028307588591437,41
circle_r15_v5,2.0,0.0,0.0,2,forward,0.005785027981384923,-0.005785027981384923,41
circle_r15_v5,2.0,0.0,0.0,2,central,0.02311601919754904,-0.02311601919754904,41
circle_r15_v5,2.0,0.0,0.0,2,cubic_global,7.282480503658048e-05,-3.366698850156226e-05,41
circle_r15_v5,2.0,0.0,0.0,2,smoothing_spline,0.24333648177595726,0.022874157761119448,41
circle_r15_v5,2.0,0.0,0.0,2,savgol_w5p2,0.07828684228568222,-0.07828684228568222,41
circle_r15_v5,2.0,0.0,0.0,2,savgol_w7p3,0.000795587555283696,-0.0007955875552836962,41
circle_r15_v5,2.0,0.0,0.0,2,savgol_w9p3,0.0025195647057092716,-0.0025195647057092716,41
circle_r15_v5,2.0,0.0,0.0,2,savgol_w11p3,0.005987873579918153,-0.005987873579918153,41
circle_r15_v5,2.0,0.0,0.0,2,family_a_W3,0.0007955875552859023,-0.0007955875552859023,41
circle_r15_v5,2.0,0.0,0.0,2,family_a_W5,0.005987873579918582,-0.005987873579918583,41
circle_r15_v5,2.0,0.0,0.0,2,family_a_W7,0.02114342575666939,-0.02110757977187552,41
circle_r15_v5,2.0,0.0,0.0,2,family_a_midspan_W5,0.011028307588591437,0.011028307588591437,41
circle_r15_v5,2.0,0.0,0.0,3,forward,0.005785027981384923,-0.005785027981384923,41
circle_r15_v5,2.0,0.0,0.0,3,central,0.02311601919754904,-0.02311601919754904,41
circle_r15_v5,2.0,0.0,0.0,3,cubic_global,7.282480503658048e-05,-3.366698850156226e-05,41
circle_r15_v5,2.0,0.0,0.0,3,smoothing_spline,0.24333648177595726,0.022874157761119448,41
circle_r15_v5,2.0,0.0,0.0,3,savgol_w5p2,0.07828684228568222,-0.07828684228568222,41
circle_r15_v5,2.0,0.0,0.0,3,savgol_w7p3,0.000795587555283696,-0.0007955875552836962,41
circle_r15_v5,2.0,0.0,0.0,3,savgol_w9p3,0.0025195647057092716,-0.0025195647057092716,41
circle_r15_v5,2.0,0.0,0.0,3,savgol_w11p3,0.005987873579918153,-0.005987873579918153,41
circle_r15_v5,2.0,0.0,0.0,3,family_a_W3,0.0007955875552859023,-0.0007955875552859023,41
circle_r15_v5,2.0,0.0,0.0,3,family_a_W5,0.005987873579918582,-0.005987873579918583,41
circle_r15_v5,2.0,0.0,0.0,3,family_a_W7,0.02114342575666939,-0.02110757977187552,41
circle_r15_v5,2.0,0.0,0.0,3,family_a_midspan_W5,0.011028307588591437,0.011028307588591437,41
circle_r15_v5,2.0,0.0,0.0,4,forward,0.005785027981384923,-0.005785027981384923,41
circle_r15_v5,2.0,0.0,0.0,4,central,0.02311601919754904,-0.02311601919754904,41
circle_r15_v5,2.0,0.0,0.0,4,cubic_global,7.282480503658048e-05,-3.366698850156226e-05,41
circle_r15_v5,2.0,0.0,0.0,4,smoothing_spline,0.24333648177595726,0.022874157761119448,41
circle_r15_v5,2.0,0.0,0.0,4,savgol_w5p2,0.07828684228568222,-0.07828684228568222,41
circle_r15_v5,2.0,0.0,0.0,4,savgol_w7p3,0.000795587555283696,-0.0007955875552836962,41
circle_r15_v5,2.0,0.0,0.0,4,savgol_w9p3,0.0025195647057092716,-0.0025195647057092716,41
circle_r15_v5,2.0,0.0,0.0,4,savgol_w11p3,0.005987873579918153,-0.005987873579918153,41
circle_r15_v5,2.0,0.0,0.0,4,family_a_W3,0.0007955875552859023,-0.0007955875552859023,41
circle_r15_v5,2.0,0.0,0.0,4,family_a_W5,0.005987873579918582,-0.005987873579918583,41
circle_r15_v5,2.0,0.0,0.0,4,family_a_W7,0.02114342575666939,-0.02110757977187552,41
circle_r15_v5,2.0,0.0,0.0,4,family_a_midspan_W5,0.011028307588591437,0.011028307588591437,41
circle_r15_v5,2.0,0.0,0.005,0,forward,0.005783034500949151,-0.005781839429063708,41
circle_r15_v5,2.0,0.0,0.005,0,central,0.023116998874160383,-0.02311572723641509,41
circle_r15_v5,2.0,0.0,0.005,0,cubic_global,7.255990287505473e-05,-3.3633031183200046e-05,41
circle_r15_v5,2.0,0.0,0.005,0,smoothing_spline,0.24324251441124925,0.023136517360188742,41
circle_r15_v5,2.0,0.0,0.005,0,savgol_w5p2,0.08980789403838993,-0.08896483098295836,41
circle_r15_v5,2.0,0.0,0.005,0,savgol_w7p3,0.022771740026940414,-0.011592688876183577,41
circle_r15_v5,2.0,0.0,0.005,0,savgol_w9p3,0.018120660868039023,-0.013602439493281323,41
circle_r15_v5,2.0,0.0,0.005,0,savgol_w11p3,0.01934915768818653,-0.016806288616027357,41
circle_r15_v5,2.0,0.0,0.005,0,family_a_W3,0.0007954406529770844,-0.0007954199781232327,41
circle_r15_v5,2.0,0.0,0.005,0,family_a_W5,0.005987897131176222,-0.005987834686732563,41
circle_r15_v5,2.0,0.0,0.005,0,family_a_W7,0.021139932195340907,-0.021102773183695286,41
circle_r15_v5,2.0,0.0,0.005,0,family_a_midspan_W5,0.011028254551758016,0.011028157921024554,41
circle_r15_v5,2.0,0.0,0.005,1,forward,0.005784284916010555,-0.0057823980456946245,41
circle_r15_v5,2.0,0.0,0.005,1,central,0.02311095314771842,-0.02310835975237321,41
circle_r15_v5,2.0,0.0,0.005,1,cubic_global,7.226137348739798e-05,-3.3578932113431304e-05,41
circle_r15_v5,2.0,0.0,0.005,1,smoothing_spline,0.2430177771727918,0.023065455282080313,41
circle_r15_v5,2.0,0.0,0.005,1,savgol_w5p2,0.07342181024915251,-0.0715216500245791,41
circle_r15_v5,2.0,0.0,0.005,1,savgol_w7p3,0.02782866331104028,0.005682351232217089,41
