dataset,shift_s,median_M4_central,median_M4_FA,delta_pct,N
helipr,-0.5,0.28630648663362257,0.2830945202884324,-1.1218629319077975,6
helipr,-0.2,0.1335258895692613,0.11952222900566098,-10.487599527533188,6
helipr,-0.1,0.08250978914267801,0.06382990134634528,-22.639601907151885,6
helipr,0.0,0.04863983755749743,0.026054860094646956,-46.43308571117789,6
helipr,0.1,0.08476534889617873,0.06535707401994978,-22.89647259046897,6
helipr,0.2,0.13513933541906686,0.12090183189000737,-10.535425148354484,6
helipr,0.5,0.28968594910202183,0.28401967548205703,-1.9560056804720094,6
oxford_x11,-0.5,0.40976667255274085,0.30431441332561804,-25.734708625809514,11
oxford_x11,-0.2,0.35676923571022046,0.22522933911606435,-36.869741958636,11
oxford_x11,-0.1,0.3481153518194422,0.21139693959891107,-39.27388192045124,11
oxford_x11,0.0,0.34497442581785437,0.20626167109466034,-40.20957622998814,11
oxford_x11,0.1,0.34768634642633045,0.2105681217203484,-39.43733371049569,11
oxford_x11,0.2,0.35584389207714057,0.22360228059681284,-37.16281617436337,11
oxford_x11,0.5,0.4074069234873388,0.3178499738524279,-21.98218647545741,11
nuscenes_x20,-0.5,0.23754867030605098,0.2328354978637295,-1.9840870657154825,20
nuscenes_x20,-0.2,0.14618641227779108,0.1380620412136859,-5.5575418655646525,20
nuscenes_x20,-0.1,0.15128336355618244,0.14372578051851737,-4.995647148510415,20
nuscenes_x20,0.0,0.15129512055341038,0.1428489223106934,-5.582597913152981,20
nuscenes_x20,0.1,0.18419609698757686,0.17970421452079793,-2.438641502312549,20
nuscenes_x20,0.2,0.21205817760588108,0.20403996015985648,-3.781140409933537,20
nuscenes_x20,0.5,0.3371916665405482,0.33584861855892695,-0.3983040255414394,20
kitti,-0.5,0.4676806586009331,0.46652593319130387,-0.24690467488726262,3
kitti,-0.2,0.19052760155805284,0.18778567769751622,-1.439121596091247,3
kitti,-0.1,0.12911916693980657,0.1255534930044016,-2.7615372836685284,3
kitti,0.0,0.1357272219718716,0.13235886347204734,-2.481711812035996,3
kitti,0.1,0.20367544648049296,0.2011178457842704,-1.2557236232534918,3
kitti,0.2,0.2921581560226197,0.2902499335883303,-0.6531470694734456,3
kitti,0.5,0.5797353815663162,0.5790545586556082,-0.11743683969548349,3
kitti360,-0.5,0.40220041349765223,0.40138106299648646,-0.20371697135775194,10
kitti360,-0.2,0.24850219166405343,0.24819665353291803,-0.12295188589260203,10
kitti360,-0.1,0.22490571917071905,0.22475072324155476,-0.06891595720010993,10
kitti360,0.0,0.2279121002931378,0.2278005876223672,-0.048927929068776854,10
kitti360,0.1,0.25651156555904187,0.2559702699707095,-0.21102190349689662,10
kitti360,0.2,0.29641689586275427,0.29565404628825454,-0.2573569810450167,10
kitti360,0.5,0.47914621016757897,0.4791160804672805,-0.006288205908576009,10
boreas,-0.5,0.4216987217646967,0.4215830189523572,-0.027437316351181563,3
boreas,-0.2,0.17450719280023752,0.1722683750599624,-1.2829372270276276,3
boreas,-0.1,0.08890989206755337,0.08865932347076552,-0.28182308060554945,3
boreas,0.0,0.01132271502974389,0.022921081729223528,102.43450152204338,3
boreas,0.1,0.08874861276850364,0.08851447125060133,-0.26382555242081146,3
boreas,0.2,0.17436817340098135,0.17214160571427434,-1.2769346855442132,3
boreas,0.5,0.42156951416991667,0.42145357719658166,-0.027501270712919152,3
pit30m,-0.5,0.33582521245489366,0.3358279316999462,0.0008097203401258708,53
pit30m,-0.2,0.13657593408707586,0.13657881661869115,0.0021105706759811556,53
pit30m,-0.1,0.06880202223859072,0.06880345467588946,0.0020819697621200133,53
pit30m,0.0,0.0036365501788009893,0.0036369829606733655,0.011900890984511615,53
pit30m,0.1,0.0686451562517105,0.06864618749011495,0.0015022741017095792,53
pit30m,0.2,0.13608128474445735,0.1360842307914337,0.0021649170801667835,53
pit30m,0.5,0.3351929823037812,0.3351957356125384,0.0008214100242448344,53
