sequence,n_frames,central_M2,central_M3sm,family_a_W5_M2,family_a_W5_M3sm,family_a_W7_M2,family_a_W7_M3sm
01_short_experiment_registered,15301,0.18975882968568014,0.39917456155061976,0.13437532576263264,0.07817690074536746,0.12831144592698568,0.040595722394889816
02_long_experiment_registered,26559,0.2210621500258768,0.4103451199607285,0.1670578800758209,0.08240151528235723,0.1657560351947753,0.041751233169987
05_quad_dynamics_registered,3954,0.14053272776139475,0.05680405420343614,0.13281667034962866,0.020949354610919842,0.13217452348021036,0.014948654922663885
06_dynamic_spinning_registered,1197,0.22327469957836002,0.2447791003123326,0.2280166054560871,0.17884089381558274,0.231082916096775,0.16073146253985643
gt-mine-easy_tum,142,,8519446.0361267,,8367830.108260059,,4341761.345134984
gt-mine-hard_tum,1904,0.24727169255048304,0.04979429402692755,0.2502260412638173,0.02931774179492354,0.24193108782066544,0.02205379796580962
gt-mine-medium_tum,149,,4262540.02516386,,4061832.3399430625,,2125792.0043889633
gt-nc-cloister_tum,2787,0.14042465322760914,0.024680706908807176,0.14295295932853325,0.011057025894688302,0.14707768942287078,0.007262522018560109
gt-nc-park_tum,15694,0.1513038497372716,0.03325820391950658,0.1490849739656508,0.013620728738247686,0.14530198297617983,0.008702705124826597
gt-nc-quad-easy_tum,1988,0.17755801758867923,0.024102744476119747,0.19125104413922303,0.00811016619214441,0.1912399491242119,0.0048652982432408195
gt-nc-quad-medium_tum,1907,0.2219423845226684,0.03693976372874817,0.22019265997677462,0.012506275052621533,0.22485649081982775,0.007881869288007845
gt-nc-stairs_tum,1190,0.3476805537488486,0.047795564322317574,0.34688603276585167,0.013973414350580951,0.3449361189279909,0.008880453394853636
gt_math_easy_tum,2160,0.2445129282691881,0.4344056694449214,0.2184105673554546,0.0886696933999147,0.2086802062997524,0.048535193094380855
gt_math_hard_tum,2438,0.2650119549383458,0.042837559399491666,0.2628680323675613,0.02871694357249489,0.2572813311032827,0.023681590566439533
gt_math_medium_tum,1770,0.25298342731723544,0.8737452602977593,0.20158857915390604,0.154404182947566,0.1902062573610557,0.08758036700070881
