series,sequence,n_rows,t_start,t_end,ref_col,input_sha256,derived_cols,derived_sha256
helipr,bridge01,21439,0.0,2143.797064448,v_ins,8d6a83708d372fc03b1620cad67d471b93a4035a5772122170d1e89516201337,v_forward;v_central;v_cubic_global;v_savgol_w7p3;v_smoothing_spline;v_family_a_W3;v_family_a_W5;v_family_a_W7;v_family_a_midspan_W5,03c9c2aabfc695354975112a74a766b9278491efa6d5aa987ab3d1a33ed3c963
helipr,dcc05,10810,0.0,1080.891201024,v_ins,21cc678ea4d057b0d8ca5f369d5a4ce7bf4c5c452393ed87418d46f9b38e1311,v_forward;v_central;v_cubic_global;v_savgol_w7p3;v_smoothing_spline;v_family_a_W3;v_family_a_W5;v_family_a_W7;v_family_a_midspan_W5,6806ed20753645e14f916b4daf8df93629c760936f1bf7b5fb36d31779376109
helipr,kaist05,12477,0.0,1247.58320128,v_ins,beddc91e477070b20a09d16847e6de7f1822bee4e582b73f97b9fe676bb33ca8,v_forward;v_central;v_cubic_global;v_savgol_w7p3;v_smoothing_spline;v_family_a_W3;v_family_a_W5;v_family_a_W7;v_family_a_midspan_W5,1e41de2357593ece7ae7426270a85fd98e77b93f37b133b2a282b587c0221a92
helipr,riverside05,8551,0.0,855.002921472,v_ins,53659cb2bde631b38ba07133df6390312900480ee9b81a188a1e2c79d36bb378,v_forward;v_central;v_cubic_global;v_savgol_w7p3;v_smoothing_spline;v_family_a_W3;v_family_a_W5;v_family_a_W7;v_family_a_midspan_W5,2cdb8e2d728b26d32f2e2e264cda2b02c9faf5074881638a80d7d4bfd11abb1d
helipr,roundabout01,27296,0.0,2729.510208512,v_ins,ea12999e95fd7bdd89a8583d63173b8cfbedec90f35c204f353ef5b817dcd862,v_forward;v_central;v_cubic_global;v_savgol_w7p3;v_smoothing_spline;v_family_a_W3;v_family_a_W5;v_family_a_W7;v_family_a_midspan_W5,0d301241981d16681e1ba3e87827f7b955e370072fc25921e1f48870425d3459
helipr,town01,24140,0.0,2413.907833088,v_ins,be78716ae8cda70a7fd2e27e1edd224564fdc52d1b87e3b1f2eb922ea05980bd,v_forward;v_central;v_cubic_global;v_savgol_w7p3;v_smoothing_spline;v_family_a_W3;v_family_a_W5;v_family_a_W7;v_family_a_midspan_W5,4fe9754fa5ba39249035725960e384150f2373aba545e2f6089aa6fd1130322a
oxford_x11,2014-11-11-11-06-25_rtk,18761,0.0,1876.003178,v_ins,d13af21e8749a5459d60be59e6edcf36b72c82ec1a2d0fb5ee22a616297bfdc2,v_forward;v_central;v_cubic_global;v_savgol_w7p3;v_smoothing_spline;v_family_a_W3;v_family_a_W5;v_family_a_W7;v_family_a_midspan_W5,282c6909885c392429932526a6d1070e77c58f74ad18cb48c1d0c1599bffb25e
oxford_x11,2014-12-05-11-09-10_rtk,2940,0.0,293.918145,v_ins,897354808ef84fb376076ba365baed7c038f6d72a4db7a9dd008c8a4102c5eec,v_forward;v_central;v_cubic_global;v_savgol_w7p3;v_smoothing_spline;v_family_a_W3;v_family_a_W5;v_family_a_W7;v_family_a_midspan_W5,13d933fc2d33e6881285c345d9040f54c178ea3c90647116b628f2b450d40cfe
oxford_x11,2015-02-13-09-16-26_rtk,22101,0.0,2209.996771,v_ins,e9df142798f8a97b5d4f151bf7410f98cc717365719a6000b4c29e0fbe2c4b9a,v_forward;v_central;v_cubic_global;v_savgol_w7p3;v_smoothing_spline;v_family_a_W3;v_family_a_W5;v_family_a_W7;v_family_a_midspan_W5,16f72fa9cdf53b034e2832d639fbca5e7a05a2a2c7e9eb20078fae07b199ad5c
oxford_x11,2015-03-24-13-47-33_rtk,22321,0.0,2232.010371,v_ins,f31fed52f271ab1068cb3ef461ef0b605528f8cf38772c7bf7aaa40b50704e49,v_forward;v_central;v_cubic_global;v_savgol_w7p3;v_smoothing_spline;v_family_a_W3;v_family_a_W5;v_family_a_W7;v_family_a_midspan_W5,988179db21a55370d50ef8bbd447129ea827c7851a4cbb1be00ed3d98837d67b
