sequence,n_frames,central_M2,central_M3sm,central_M4,family_a_W5_M2,family_a_W5_M3sm,family_a_W5_M4,family_a_W7_M2,family_a_W7_M3sm,family_a_W7_M4
00682fa6_00,2378,0.1177868705074059,0.013018616082336185,0.004911961882297872,0.11764544942765737,0.008275058267456427,0.009415816125684418,0.11764999999107212,0.007388925303288266,0.01236668704206219
00682fa6_01,1669,0.1244355081757122,0.01056568742190889,0.004307664176003778,0.12419768521911449,0.006626034875432369,0.00844985617482188,0.12420682783712306,0.005576195952693974,0.011277457371319069
00682fa6_02,4885,0.10601091372944774,0.010583360611379322,0.008654248421880239,0.10672264785434628,0.006074594190885797,0.011475816954395129,0.10933885909586252,0.00491924554110233,0.013360123904920307
00682fa6_03,3319,0.06933845430496115,0.003561579736458229,0.0007594326627268016,0.06931031254676497,0.0027300621911519113,0.0017765202918155433,0.06858334301980841,0.0022356754108859836,0.0027984130000771952
00a05077_00,1417,0.12419284504776341,0.013590947640868614,0.004289585961694188,0.12408019643890981,0.006632521802892734,0.01136647414160324,0.1237950163758714,0.005290481348061629,0.014556856940266457
00a05077_01,9602,0.08242895772178524,0.013415079566823479,0.015336959118253004,0.08201206582066013,0.00678546726302634,0.018648281714345512,0.08203785385742106,0.005631801001845482,0.020909351547638805
00a05077_02,256,,0.018598041439110508,0.007151122744192438,,0.006959149302861872,0.016177675921272814,,0.005105505566549871,0.019608299920412325
00a05077_03,21551,0.06376298629376614,0.013098436400036472,0.009024881963866046,0.0633680691962794,0.00631273597796732,0.013369922563305667,0.06349023557579007,0.004883956673941313,0.01609730601291595
00a05077_04,1504,0.2023541893681515,0.023683612900554173,0.02965889181502525,0.20167322428512885,0.01224718461801234,0.033843311597476396,0.2009982140031005,0.010332016006713298,0.03721022856942007
0106abc2_00,11256,0.09683717971594599,0.009727333049103733,0.016754232627444656,0.09667516004572427,0.006239027306592912,0.017877885789912472,0.09614235675058683,0.005596575841222444,0.018814871906707224
0106abc2_01,660,,0.012170953864681115,0.004502357818533723,,0.008355981165526839,0.009029531338953256,,0.0073407030350426845,0.012474847574707952
017be362_00,3377,0.06364910297256055,0.00969720714705751,0.0036311015848799655,0.06366448510188194,0.006487403080300523,0.00733051149583589,0.06311311203703991,0.005592637988674077,0.00989229169139642
017be362_01,172,,0.020138230986369594,0.006752564628739514,,0.011335989412841866,0.014930148546899762,,0.00936774579798174,0.02147904288968984
017be362_02,2351,0.06407320100715772,0.014612447937724562,0.004321658067694018,0.06341654450013089,0.009238888049833437,0.009817992801123204,0.06019377960465264,0.008296658052275103,0.012898248796448297
017be362_03,422,0.2209241826910473,0.014319264220981771,0.0043523394413771165,0.24198772282878367,0.010170497623404428,0.007978117853933236,0.22123960211997587,0.009171646364714566,0.011047038125760007
017be362_04,3553,0.09874810366348154,0.012941426168729689,0.004256494878064789,0.09850276196135317,0.00858047126327293,0.009212684043438633,0.1000344369005161,0.007514025616995968,0.011980707492300565
017be362_05,11336,0.08047528060146744,0.011765056439992538,0.005708367325576053,0.08013043982821859,0.007591015741656978,0.009434329218472539,0.07963365609402427,0.006529374668411485,0.012024259722686037
017be362_06,675,0.22454421526119753,0.013397499804802348,0.003550678607308309,0.22377603505770818,0.011005508067381486,0.007215058323817303,0.22783345597037707,0.010507109794449734,0.009437340227957988
017be362_07,7067,0.03595984863948251,0.009013582214803239,0.004883826602840643,0.03505193660778792,0.005896051782863055,0.0073746078737546615,0.03523676156902768,0.005164448599542085,0.009701166093705313
01959149_00,12649,0.10985352569652977,0.012423845101260024,0.0065136990927978896,0.11060343279079834,0.006898550986776527,0.010999525884961201,0.10991291226926593,0.0057767914842146995,0.013418124677419924
01959149_01,1826,0.18723196957547175,0.007485650947347586,0.005225843342637296,0.18662006643048873,0.004701721255077069,0.007004285606094165,0.18661066413128105,0.003946521731131412,0.008507776997051845
01959149_02,183,0.1180898701557178,0.018725448734207967,0.014102478057957614,0.11730179332473871,0.013282622871237014,0.014609017610842052,0.11723492998475991,0.011248415688434873,0.017442689472112045
01959149_03,2072,0.1655741663495592,0.01416347407969182,0.008213322469165575,0.16483097390803408,0.00978821508662928,0.011950159973764404,0.1646673815078052,0.008654684612989204,0.015122837685551189
01959149_04,222,0.16693664419756107,0.01577639725420006,0.006446804961754399,0.16623726990641546,0.010016187677132344,0.010789976531896131,0.16606888986170887,0.008272079725363878,0.015013510484816845
01959149_05,5820,0.1290613378309032,0.01097316985058793,0.007436430457441034,0.13000908413686113,0.006833912509344732,0.010588474061357872,0.12934784012717965,0.005995446842528059,0.012651757359772125
01959149_06,7025,0.10659274145043009,0.01269004502584737,0.004417040720234428,0.10632346184320891,0.007507120994397764,0.010161752954895232,0.10644669348628795,0.006307622203248924,0.013481560980623725
01959149_07,5067,0.07553672683175738,0.010208498550251178,0.005323098737957862,0.07460597056568558,0.006218385852601018,0.008708504552335425,0.07458185016216234,0.005368268757648979,0.010877484582805947
01d09d4c_00,299,0.07535036519242774,0.008310623752168842,0.009565898314184354,0.07508224646262146,0.006230765709413272,0.010276717376409826,0.07471081831823162,0.005599777753561117,0.011370617118200838
01d09d4c_01,11473,0.062419975683391415,0.011638346503109014,0.006886680272242381,0.062174730534439754,0.005942796743117377,0.011106593257607378,0.062825078233993,0.004745299140984721,0.013662278518381471
01e21524_00,1401,0.1562247532220529,0.006105725686786347,0.002426681569036013,0.15261902552870546,0.003945620009322961,0.00439966545234177,0.15286868581406413,0.0035329946146483537,0.0054746640960469705
01e21524_01,642,0.2560718183686004,0.012089244170602058,0.003714923805041567,0.25574896623903143,0.007450148941626795,0.008731207454917959,0.25562211120853345,0.0066100036363160395,0.011614467481601573
01e21524_02,1019,0.10383157867268118,0.009060982907594627,0.003188807094736149,0.10031264083514914,0.00581927811865644,0.00667903415682203,0.10028078969834024,0.00504913958363539,0.009186556623047782
01e21524_03,487,,0.009957877427807675,0.0036125861763143256,,0.006291813117627266,0.007657863933338011,,0.0054060194976675476,0.009797324061758421
01e21524_04,618,0.1796918608738158,0.009292320241216252,0.003993935069953274,0.17943159547209597,0.006285202155640748,0.006544413774650567,0.18037377848896674,0.0056150445308142385,0.008749042347672768
01e21524_05,140,,0.023440973051407542,0.00660948828186796,,0.01032628511541245,0.018570027547544266,,0.008291992952923119,0.02400003262496158
