sequence,n,m4_c_pub,m3_c_pub,m4_f_pub,m3_f_pub,m4_f_w50,m3_f_w50,m4_c_dec,m3_c_dec,m4_f_dec,m3_f_dec
00682fa6_00,23771,0.002430315420665248,0.0003197235917264027,0.0024323322796867518,0.00030517253864274503,0.008768052084304704,9.076492139118118e-05,0.00419347826256576,0.012959867213440383,0.009466051429321377,0.008358291588955446
00682fa6_01,16688,0.0030597271715427678,0.00026215868200007097,0.003057604387516889,0.0002532699692569538,0.007888268517978931,7.562576086684823e-05,0.004329130293891053,0.010444984646466107,0.008382811717231388,0.006551357501213083
00682fa6_02,48848,0.008033394167604421,0.0003256669790584568,0.008032298200761713,0.00031231419301395384,0.011181259967532038,8.5939675004818e-05,0.008716186740954162,0.010286974728553677,0.011554397750252944,0.0058770217782944355
00682fa6_03,33185,1.300139955221805e-05,0.00017106951235861946,2.083159630126675e-05,0.0001696965856528036,0.0016819736517885442,6.201321414923376e-05,0.0007386791969765073,0.00349348642318832,0.0017494408372421217,0.0026482289628986374
00a05077_00,14164,0.0013240636179945198,0.00037732575510629766,0.001327657248981183,0.00035855657812261114,0.010482995912942878,7.614484251151969e-05,0.004233587020712344,0.013374184284056567,0.011192863834606456,0.00659624624435231
00a05077_01,96018,0.014952867277637524,0.00032579919766394905,0.01495126413168469,0.00031448993749591926,0.018420325372119625,8.081291075854598e-05,0.015599119564753976,0.013485671542618944,0.01891147927359806,0.006783619213992722
00a05077_02,2556,0.0013984396229792932,0.0004477340834389339,0.0013954871823141817,0.00043144960183648823,0.015294362274036322,7.968178369858561e-05,0.005798496894161772,0.018594992059670776,0.016784758596106286,0.007147148529569016
00a05077_03,215507,0.0078043416707635925,0.00036760394183666024,0.007804411261328429,0.0003524262218461004,0.012636653075137566,8.191155472561727e-05,0.008745167088450268,0.013122885770292251,0.013246801341598217,0.006295923120387702
00a05077_04,15035,0.028295010486258015,0.0023572251436190387,0.028299526276778626,0.0022650784582414025,0.03338356826719996,0.00014147480401210914,0.029412583424743243,0.021580087591075058,0.03311991591724181,0.009581367362980908
0106abc2_00,112558,0.016810677722007276,0.0002767210182527655,0.016810646172313082,0.0002620461407286507,0.017912839169771856,7.2299088071441e-05,0.017035879765269914,0.009475244893936453,0.018028058524543235,0.00623957227096536
0106abc2_01,6596,0.0021506899812807306,0.0003077812548895552,0.0021468681929323994,0.00029407590945365684,0.008582311774846065,8.901191011060407e-05,0.004453140683660962,0.012341515945274625,0.00916691665313722,0.008493715123748188
017be362_00,33761,0.0018582074568410489,0.00027106984838081463,0.001856123216730397,0.00026204854431533187,0.005980150094426767,8.744319543333238e-05,0.003342752659177528,0.009069491420027867,0.006423112942126652,0.006485213384988321
017be362_01,1715,0.0012151190184592428,0.0004615735627109464,0.0012209805589890289,0.0004403748839159507,0.013126558002207377,0.00012289904233004885,0.0054544734618791535,0.019394089258306532,0.014613866457135251,0.011544935269770185
017be362_02,23505,0.0017072613046690728,0.00045119374621147625,0.0017084320215756726,0.00044620121313884654,0.008769719973144446,0.00017099896582806567,0.003929079847075137,0.014289081799582333,0.009460513204988433,0.009230594515269626
017be362_03,4220,0.002376004097678245,0.00041566681217387267,0.0023744424413080245,0.00040893760431540756,0.007563475531585682,0.00018805617671670204,0.004128597765452741,0.014454562968663353,0.007950075343461148,0.010337370012413047
017be362_04,35530,0.0019434676043897593,0.0003769911453329489,0.0019446862086322048,0.0003630640204874725,0.008410808440912302,0.00013089917283004468,0.0041030815415821174,0.012816151258505873,0.00901308295844401,0.008643286022916119
017be362_05,113360,0.004360001324695094,0.0003678284185324431,0.004359527328867991,0.0003548122802124064,0.008937986741177295,0.00011382538750339625,0.005615056194500715,0.0118029961600989,0.009403132042968925,0.007574584346767158
017be362_06,6746,0.0008301970040287754,0.00032235747419032476,0.0008313466190452309,0.0003159979271325654,0.006708857833319536,0.00011410446678293674,0.0030715641257081537,0.011489808779304198,0.007133164478088334,0.008692211778532627
017be362_07,70670,0.0037198313693301076,0.00024796547679417207,0.0037182801324093873,0.00024127230129824962,0.006425481063775969,8.118174974316349e-05,0.004543450430356119,0.008433270991125919,0.006813763084136797,0.005636264965676741
01959149_00,126487,0.00508176412569332,0.00037843455374672775,0.005083298404516251,0.0003583276161032445,0.010161933527617142,8.795573145036102e-05,0.006253982951188255,0.01219617620136515,0.010779209182696174,0.006597925384084278
01959149_01,18252,0.0022760688352546224,0.00025337489858169056,0.0022756938254445036,0.00024508921767538194,0.005307618338648259,6.72176577620605e-05,0.0031725027813267626,0.007231175409904093,0.005604175887461233,0.004553464645865355
01959149_02,1825,0.011741728694486187,0.0004931515241616814,0.011742441406750705,0.0004784205949590285,0.01412733119818947,0.00021272622787663395,0.011616883283808959,0.01888201710695362,0.013849739899965486,0.013823397522303158
01959149_03,20715,0.006191079377691644,0.00040712541595466745,0.006189074627950229,0.0003967868444157,0.011053140581282124,0.00013627304544548374,0.007495770793013141,0.014317280964073928,0.011656013347187041,0.009901331493598885
01959149_04,2219,0.0005283669052122487,0.00032168930705570763,0.0005283271553769831,0.0003143342208635951,0.010175855873823504,0.00011184803684042153,0.004126974590505123,0.014307484743165533,0.011003037792212893,0.00869831569216835
01959149_05,58198,0.006528813623266226,0.00030818327329208966,0.00652738986523704,0.0002922452933851672,0.010299966646946117,0.00010463651937261621,0.007411205926058941,0.010841624391393516,0.010741228854520777,0.006796376467274575
01959149_06,70250,0.0023759256421684786,0.000326597330878923,0.0023764670997396815,0.0003084558815465653,0.009327045111824847,7.501872758967234e-05,0.004311423977523496,0.01207871855298665,0.010025488558196186,0.006681004495010496
01959149_07,50670,0.004569182128366928,0.0003012446300645208,0.0045693691352235956,0.00028902358508292575,0.008401859574146723,9.140375523663772e-05,0.005407358853554896,0.010335551895425586,0.008835292479932935,0.00630271404770629
01d09d4c_00,2982,0.008374239023402449,0.0002038456081327858,0.008372972333913912,0.00019517591147624568,0.009442782518585525,6.808344112938197e-05,0.008163892219715922,0.008115703081869548,0.009023139085291839,0.006058274748922561
01d09d4c_01,114728,0.00584174055784093,0.0003576832785993806,0.005841828282555308,0.00034164631477081757,0.010480061985035283,8.500984132203801e-05,0.006837845938035235,0.011646874820028604,0.011079556536451504,0.005935936917895014
01e21524_00,14002,0.001112503845041894,0.00019608460946689244,0.001112381038120375,0.00018893304766541132,0.004185214695188531,5.023003914309253e-05,0.0022526076029215063,0.00606288304134574,0.0044008638974693,0.003937231699063217
01e21524_01,6414,0.0016770794537566333,0.0003112503579437381,0.0016779626819045208,0.00030262023079074266,0.008193332318255671,0.00010023338370369429,0.0036642709243866777,0.012220076108456303,0.008845140049236207,0.007584336989164518
01e21524_02,10184,0.0015677598892148174,0.0002483723246949903,0.0015670685080893362,0.00023909276923474485,0.006283317756472177,6.874583891729637e-05,0.0031210320609618577,0.009145080619426534,0.006739643646763304,0.005893479508403603
