dataset,coupling,W,span_s,M4_central,M4_fa,delta_pct,clears_margin,latency_sign_survives,algorithm_output,delta_shift_-0.5s_pct,delta_shift_-0.2s_pct,delta_shift_-0.1s_pct,delta_shift_+0.1s_pct,delta_shift_+0.2s_pct,delta_shift_+0.5s_pct,delta_minus_default_pp
HeLiPR,separated,3,0.6,0.04863983755749743,0.03787994586531915,-22.121561733134797,True,False,inconclusive,0.023854030253334102,-4.188951134429841,-10.433257662089513,-10.12514389141127,-4.023861500163884,-0.74114785876912,24.311523978043084
HeLiPR,separated,5,1.0,0.04863983755749743,0.026054860094646956,-46.43308571117788,True,True,response not attributable to a shared clock alone,-1.1219708256298255,-10.487951293693886,-22.63721508416461,-22.89589614631231,-10.535271181578265,-1.955946688722232,0.0
HeLiPR,separated,7,1.4,0.04863983755749743,0.0292530379042288,-39.857862663195334,True,True,response not attributable to a shared clock alone,-2.343869393859921,-12.253655091377812,-23.00071903623503,-23.936665494896037,-12.59670614173183,-2.6813863814040384,6.575223047982547
Oxford,alg. separated,3,0.6,0.34497442581785437,0.31622359370777936,-8.33419232220286,False,True,response not attributable to a shared clock alone,-4.074524791431122,-7.793616958602589,-8.186439786894251,-8.216436575597541,-7.840906672235015,-5.0742478437521665,31.87538390778527
Oxford,alg. separated,5,1.0,0.34497442581785437,0.20626167109466034,-40.20957622998813,True,True,response not attributable to a shared clock alone,-25.448376057374144,-36.148372834533006,-39.273882051112096,-39.43742727540338,-37.16282653016586,-21.99801730785923,0.0
Oxford,alg. separated,7,1.4,0.34497442581785437,0.16053277827816753,-53.465310392913466,True,True,response not attributable to a shared clock alone,-32.369498107368834,-47.962048523159886,-52.198934866899215,-51.58378962721025,-48.278378964184064,-31.37273993774583,-13.255734162925336
nuScenes,weak/online,3,0.6,0.15129512055341038,0.15036395680420606,-0.615461850850374,False,False,consistent with shared filter state,-0.23408336142881625,-0.5082857611347968,-0.5055219219733065,-0.1529208119009473,1.3657788027425344,0.2039991682631026,4.967136062302601
nuScenes,weak/online,5,1.0,0.15129512055341038,0.1428489223106934,-5.582597913152975,False,True,consistent with shared filter state,-2.293977817092674,-5.522901480287179,-4.982802088085625,-2.385739748093507,-4.012386560161662,-0.40322402263422985,0.0
nuScenes,weak/online,7,1.4,0.15129512055341038,0.13946430352223999,-7.819695035699359,False,True,consistent with shared filter state,-3.5971571539819225,-8.442362168434004,-8.484153851267784,-3.4802894787370864,-7.269089351973202,-1.1348999738982513,-2.237097122546384
KITTI,weak/online,3,0.6,0.1357272219718716,0.1358709435836583,0.10589004158392257,False,False,consistent with shared filter state,0.025583240644433403,-0.017943665293118638,0.0005797902455251247,0.11437344659834814,0.11598271651502845,0.07993268544772558,2.587601853619914
KITTI,weak/online,5,1.0,0.1357272219718716,0.13235886347204734,-2.4817118120359916,False,True,consistent with shared filter state,-0.24682251992594884,-1.4388066072554606,-2.760916645354905,-1.2791920587691852,-0.6619736819961974,-0.11823545465282637,0.0
KITTI,weak/online,7,1.4,0.1357272219718716,0.1293737723235271,-4.681043018519304,False,True,consistent with shared filter state,-0.5499282384932691,-2.6084335223103716,-5.02746240484877,-2.5183134745948133,-1.4183451779936185,-0.36750349332551613,-2.1993312064833126
KITTI-360,weak/online,3,0.6,0.2279121002931378,0.2280532171160383,0.06191721401320738,False,True,consistent with shared filter state,0.021129599245561792,0.042934746099287935,0.0505562663220438,0.0662951908198206,0.054432370095836013,0.06337898975972145,0.11084514308198345
KITTI-360,weak/online,5,1.0,0.2279121002931378,0.2278005876223672,-0.04892792906877608,False,True,consistent with shared filter state,-0.20374065462397395,-0.1229314397650394,-0.06888229105936894,-0.21187381853281506,-0.2573866212635445,-0.006295721863203152,0.0
KITTI-360,weak/online,7,1.4,0.2279121002931378,0.2275893340187423,-0.14161875301064164,False,True,consistent with shared filter state,-0.44862982779264593,-0.2604100949728072,-0.1545914794951031,-0.5269236283210965,-0.5377517628015749,-0.13380914837467506,-0.09269082394186556
Boreas,batch joint,3,0.6,0.01132271502974389,0.012371697750540565,9.264409799602635,False,False,no independent comparison; report delta and its latency fragility,0.041445070350709656,-0.04819149914820908,-0.11546918164033748,-0.11412294047299376,-0.05008519002763778,0.039569893033375436,-93.17009172244073
Boreas,batch joint,5,1.0,0.01132271502974389,0.022921081729223528,102.43450152204336,True,False,no independent comparison; report delta and its latency fragility,-0.02743731650678427,-1.282937244132154,-0.28182309500710545,-0.26382556442493543,-1.2769347158012145,-0.027501270989860327,0.0
Boreas,batch joint,7,1.4,0.01132271502974389,0.030545048425428326,169.76788115914658,True,False,no independent comparison; report delta and its latency fragility,-0.14553256875953213,-1.7548601863199176,0.8758325985352311,0.9253356455437345,-1.7354096924342644,-0.14069914496459557,67.33337963710322
Pit30M,batch joint,3,0.6,0.00532309873795786,0.005310870299314513,-0.2297240619669294,False,False,no independent comparison; report delta and its latency fragility,0.045345485748771175,0.0418604718789517,0.024904684093751683,-0.17860018826859614,0.04969280565834122,0.05243529362706223,-77.11571827385762
Pit30M,batch joint,5,1.0,0.00532309873795786,0.009415816125517366,76.88599421189069,True,False,no independent comparison; report delta and its latency fragility,0.016129715338131234,-0.24915491011012758,-0.04216662379704639,-0.25141690712098264,-0.24884838335316184,0.021218469012840302,0.0
Pit30M,batch joint,7,1.4,0.00532309873795786,0.012024259722816774,125.88834652031515,True,False,no independent comparison; report delta and its latency fragility,-0.06273938792006328,-0.3922082989345044,0.12340109606505667,0.3747800864922546,-0.3688619653478664,-0.057156284695247805,49.00235230842446
